genres,spotify_url,name,popularity,href,type,uri,followers,image_url
"['mexican hip hop', 'rap conciencia']",https://open.spotify.com/artist/2hejA1Dkf8v8R0koF44FvW,Gera MX,80,https://api.spotify.com/v1/artists/2hejA1Dkf8v8R0koF44FvW,artist,spotify:artist:2hejA1Dkf8v8R0koF44FvW,2290612,https://i.scdn.co/image/ab6761610000e5eb6b41a8ebf8835aa23586fbfb
"['latin', 'panamanian pop', 'reggaeton', 'trap latino']",https://open.spotify.com/artist/77ziqFxp5gaInVrF2lj4ht,Sech,89,https://api.spotify.com/v1/artists/77ziqFxp5gaInVrF2lj4ht,artist,spotify:artist:77ziqFxp5gaInVrF2lj4ht,9225863,https://i.scdn.co/image/ab6761610000e5eba760b68c06ca08e6dce6b45c
"['latin', 'latin hip hop', 'latin pop', 'pop reggaeton', 'reggaeton', 'trap latino']",https://open.spotify.com/artist/0GM7qgcRCORpGnfcN2tCiB,Tainy,83,https://api.spotify.com/v1/artists/0GM7qgcRCORpGnfcN2tCiB,artist,spotify:artist:0GM7qgcRCORpGnfcN2tCiB,583277,https://i.scdn.co/image/ab6761610000e5eb0b4ecb49d9dcd631a07a1315
"['latin', 'puerto rican pop', 'reggaeton', 'trap latino']",https://open.spotify.com/artist/1i8SpTcr7yvPOmcqrbnVXY,Ozuna,89,https://api.spotify.com/v1/artists/1i8SpTcr7yvPOmcqrbnVXY,artist,spotify:artist:1i8SpTcr7yvPOmcqrbnVXY,29845771,https://i.scdn.co/image/ab6761610000e5eb64770783ca0eac5b6b23ed5c
['mexican hip hop'],https://open.spotify.com/artist/4tm8CEdm4pkQsEh4jIr9Yp,Santa Fe Klan,82,https://api.spotify.com/v1/artists/4tm8CEdm4pkQsEh4jIr9Yp,artist,spotify:artist:4tm8CEdm4pkQsEh4jIr9Yp,2617764,https://i.scdn.co/image/ab6761610000e5eb427771ca1bc6936c76ac36e0
"['latin hip hop', 'mexican hip hop', 'perreo']",https://open.spotify.com/artist/66RfYVdftqnuHRicyClgL0,Dharius,68,https://api.spotify.com/v1/artists/66RfYVdftqnuHRicyClgL0,artist,spotify:artist:66RfYVdftqnuHRicyClgL0,1057976,https://i.scdn.co/image/ab6761610000e5eb4a96627cdb9cf2e0276d9972
"['latin hip hop', 'mexican hip hop', 'rap conciencia', 'trap mexicano']",https://open.spotify.com/artist/1QhaqxeqF9sipS2gwbEKpu,C-Kan,72,https://api.spotify.com/v1/artists/1QhaqxeqF9sipS2gwbEKpu,artist,spotify:artist:1QhaqxeqF9sipS2gwbEKpu,1569692,https://i.scdn.co/image/ab6761610000e5eb334c841c9a00210607162078
['mexican hip hop'],https://open.spotify.com/artist/1FCItwxfRieMGhR0eRxotU,Rich Vagos,65,https://api.spotify.com/v1/artists/1FCItwxfRieMGhR0eRxotU,artist,spotify:artist:1FCItwxfRieMGhR0eRxotU,116177,https://i.scdn.co/image/ab6761610000e5eb1ff03553d6893830a1828c81
['trap mexicano'],https://open.spotify.com/artist/30CTTIqrcr82nS6B40j975,Robot95,64,https://api.spotify.com/v1/artists/30CTTIqrcr82nS6B40j975,artist,spotify:artist:30CTTIqrcr82nS6B40j975,106606,https://i.scdn.co/image/ab6761610000e5ebc90774a0c60d442d3004581b
"['latin hip hop', 'mexican hip hop', 'perreo', 'rap conciencia']",https://open.spotify.com/artist/5lYeiQxUTcGKVgAuTqbTeL,Charles Ans,71,https://api.spotify.com/v1/artists/5lYeiQxUTcGKVgAuTqbTeL,artist,spotify:artist:5lYeiQxUTcGKVgAuTqbTeL,962585,https://i.scdn.co/image/ab6761610000e5ebb459241e94791a92c9c66dbd
"['reggaeton', 'reggaeton flow', 'trap boricua', 'trap latino', 'trap triste']",https://open.spotify.com/artist/5XJDexmWFLWOkjOEjOVX3e,Eladio Carrion,78,https://api.spotify.com/v1/artists/5XJDexmWFLWOkjOEjOVX3e,artist,spotify:artist:5XJDexmWFLWOkjOEjOVX3e,663040,https://i.scdn.co/image/ab6761610000e5eb7d9359af36c5ea4f9d36def7
"['latin hip hop', 'mexican hip hop', 'rap underground mexicano']",https://open.spotify.com/artist/0N6H5exnFMoW4yNQ3vDJ3Z,Iluminatik,49,https://api.spotify.com/v1/artists/0N6H5exnFMoW4yNQ3vDJ3Z,artist,spotify:artist:0N6H5exnFMoW4yNQ3vDJ3Z,156282,https://i.scdn.co/image/ab6761610000e5eb09d26fbbd337252c3e97c118
"['boom bap espanol', 'pop venezolano', 'rap conciencia', 'trap venezolano', 'venezuelan hip hop']",https://open.spotify.com/artist/0qHbO3z6lgLE6ZYCkQBo1K,Lil Supa,53,https://api.spotify.com/v1/artists/0qHbO3z6lgLE6ZYCkQBo1K,artist,spotify:artist:0qHbO3z6lgLE6ZYCkQBo1K,204097,https://i.scdn.co/image/ab6761610000e5ebcf4ca19c42442b45ae54d1fc
"['latin hip hop', 'mexican hip hop']",https://open.spotify.com/artist/07PdYoE4jVRF6Ut40GgVSP,Cartel De Santa,79,https://api.spotify.com/v1/artists/07PdYoE4jVRF6Ut40GgVSP,artist,spotify:artist:07PdYoE4jVRF6Ut40GgVSP,8712323,https://i.scdn.co/image/ab6761610000e5ebbd172041a059e4b6e46e2cfc
"['mexican hip hop', 'trap mexicano']",https://open.spotify.com/artist/4QFG9KrGWEbr6hNA58CAqE,Aleman,75,https://api.spotify.com/v1/artists/4QFG9KrGWEbr6hNA58CAqE,artist,spotify:artist:4QFG9KrGWEbr6hNA58CAqE,2988945,https://i.scdn.co/image/ab6761610000e5eb6c1d2882997b15d14a7a7661
"['mexican hip hop', 'rap underground mexicano']",https://open.spotify.com/artist/7rTmbfDJtDCjoy8XK5Dsj5,Hispana,49,https://api.spotify.com/v1/artists/7rTmbfDJtDCjoy8XK5Dsj5,artist,spotify:artist:7rTmbfDJtDCjoy8XK5Dsj5,171705,https://i.scdn.co/image/ab6761610000e5eb83c2ecd57741634e9ecc2eb8
"['mexican hip hop', 'rap underground mexicano']",https://open.spotify.com/artist/1gPiNBRjOB9XochAAFR3iM,West Gold,48,https://api.spotify.com/v1/artists/1gPiNBRjOB9XochAAFR3iM,artist,spotify:artist:1gPiNBRjOB9XochAAFR3iM,85540,https://i.scdn.co/image/ab6761610000e5ebf06472b02abf1cdf06be071f
"['east coast hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'rap']",https://open.spotify.com/artist/5me0Irg2ANcsgc93uaYrpb,The Notorious B.I.G.,80,https://api.spotify.com/v1/artists/5me0Irg2ANcsgc93uaYrpb,artist,spotify:artist:5me0Irg2ANcsgc93uaYrpb,6806741,https://i.scdn.co/image/1b4858fbd24046a81cace5ee18d19c868262b91f
"['ska', 'spanish rock']",https://open.spotify.com/artist/2fiiGUBgPsIKDCE0bTthnl,Ska-P,63,https://api.spotify.com/v1/artists/2fiiGUBgPsIKDCE0bTthnl,artist,spotify:artist:2fiiGUBgPsIKDCE0bTthnl,691025,https://i.scdn.co/image/ab6761610000e5eb22081d0a2720cab55d412338
"['mariachi', 'nuevo regional mexicano', 'ranchera', 'regional mexican']",https://open.spotify.com/artist/0XwVARXT135rw8lyw1EeWP,Christian Nodal,84,https://api.spotify.com/v1/artists/0XwVARXT135rw8lyw1EeWP,artist,spotify:artist:0XwVARXT135rw8lyw1EeWP,8764927,https://i.scdn.co/image/ab6761610000e5eb901f63bb5259807626e0f31a
['mexican hip hop'],https://open.spotify.com/artist/0U5RYP2HMdGv2GhicLhkOI,Neto Peña,74,https://api.spotify.com/v1/artists/0U5RYP2HMdGv2GhicLhkOI,artist,spotify:artist:0U5RYP2HMdGv2GhicLhkOI,591012,https://i.scdn.co/image/ab6761610000e5ebfcaf21135aeef90fbf86169c
"['mexican hip hop', 'rap underground mexicano']",https://open.spotify.com/artist/7JPuolk7ddUtMTmmGwS5Xp,Nunca Muere,18,https://api.spotify.com/v1/artists/7JPuolk7ddUtMTmmGwS5Xp,artist,spotify:artist:7JPuolk7ddUtMTmmGwS5Xp,2747,https://i.scdn.co/image/ab6761610000e5ebf39b8f90fa08cfd3a7f2e26b
"['latin hip hop', 'mexican hip hop']",https://open.spotify.com/artist/4Hzj6dfl1y5x5TzCSsvLB6,Remik Gonzalez,62,https://api.spotify.com/v1/artists/4Hzj6dfl1y5x5TzCSsvLB6,artist,spotify:artist:4Hzj6dfl1y5x5TzCSsvLB6,613668,https://i.scdn.co/image/ab6761610000e5eb56c6d597493edcdf49efe53b
"['gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",https://open.spotify.com/artist/0NbfKEOTQCcwd6o7wSDOHI,The Game,74,https://api.spotify.com/v1/artists/0NbfKEOTQCcwd6o7wSDOHI,artist,spotify:artist:0NbfKEOTQCcwd6o7wSDOHI,3592877,https://i.scdn.co/image/ab6761610000e5eba657aa5506945d264e147244
"['latin alternative', 'latin rock', 'mexican rock', 'rock en espanol']",https://open.spotify.com/artist/6Z112eJxKl1E3nAbYZBr7M,Victimas Del Doctor Cerebro,50,https://api.spotify.com/v1/artists/6Z112eJxKl1E3nAbYZBr7M,artist,spotify:artist:6Z112eJxKl1E3nAbYZBr7M,301651,https://i.scdn.co/image/ab6761610000e5eb5a7d1b66251a3d7a194585fb
['mexican hip hop'],https://open.spotify.com/artist/2nJOVl8u7PntefIs1Uwb4z,Don Kalavera,33,https://api.spotify.com/v1/artists/2nJOVl8u7PntefIs1Uwb4z,artist,spotify:artist:2nJOVl8u7PntefIs1Uwb4z,18316,https://i.scdn.co/image/ab6761610000e5ebaf8bc0ba417dca645ca93775
"['latin hip hop', 'mexican hip hop']",https://open.spotify.com/artist/30BSBWLKnYJION1lCPugXc,Santa RM,58,https://api.spotify.com/v1/artists/30BSBWLKnYJION1lCPugXc,artist,spotify:artist:30BSBWLKnYJION1lCPugXc,437291,https://i.scdn.co/image/ab6761610000e5ebf11005286aa590d2ebc1cbbd
[],https://open.spotify.com/artist/706LOThdK6o7T4m9ydRhPe,La Plaga De La Sierra,20,https://api.spotify.com/v1/artists/706LOThdK6o7T4m9ydRhPe,artist,spotify:artist:706LOThdK6o7T4m9ydRhPe,1533,https://i.scdn.co/image/ab6761610000e5eb28a90fef97f69c1753dadd8c
"['colombian pop', 'latin', 'latin pop', 'reggaeton', 'reggaeton colombiano', 'trap latino']",https://open.spotify.com/artist/4bw2Am3p9ji3mYsXNXtQcd,Piso 21,78,https://api.spotify.com/v1/artists/4bw2Am3p9ji3mYsXNXtQcd,artist,spotify:artist:4bw2Am3p9ji3mYsXNXtQcd,7405060,https://i.scdn.co/image/ab6761610000e5ebaad921625a611384563e5f7e
['trap mexicano'],https://open.spotify.com/artist/7duoO1s42va1lka5TikCfu,Zornoza,57,https://api.spotify.com/v1/artists/7duoO1s42va1lka5TikCfu,artist,spotify:artist:7duoO1s42va1lka5TikCfu,9267,https://i.scdn.co/image/ab6761610000e5eb1fd3e003ab1cf1a85bd30052
"['dance pop', 'pop', 'pop rap', 'rap']",https://open.spotify.com/artist/4kYSro6naA4h99UJvo89HB,Cardi B,86,https://api.spotify.com/v1/artists/4kYSro6naA4h99UJvo89HB,artist,spotify:artist:4kYSro6naA4h99UJvo89HB,18115222,https://i.scdn.co/image/ab6761610000e5eba3de342056c0e1284cbc109d
"['mexican hip hop', 'trap mexicano']",https://open.spotify.com/artist/4RtYPfT9hi1qBolEuVArOG,La Plebada,45,https://api.spotify.com/v1/artists/4RtYPfT9hi1qBolEuVArOG,artist,spotify:artist:4RtYPfT9hi1qBolEuVArOG,22951,https://i.scdn.co/image/ab6761610000e5ebb52e524de06c1650745b2da8
"['mexican hip hop', 'rap underground mexicano']",https://open.spotify.com/artist/6JG2QQcaQBzinELNvu9PRk,Bipo Montana,59,https://api.spotify.com/v1/artists/6JG2QQcaQBzinELNvu9PRk,artist,spotify:artist:6JG2QQcaQBzinELNvu9PRk,264549,https://i.scdn.co/image/ab6761610000e5eb0e2491ee429fc543b8374fde
"['mexican hip hop', 'rap underground mexicano']",https://open.spotify.com/artist/4V2V4PaSblStayYVWTGDbZ,Geassassin,58,https://api.spotify.com/v1/artists/4V2V4PaSblStayYVWTGDbZ,artist,spotify:artist:4V2V4PaSblStayYVWTGDbZ,68489,https://i.scdn.co/image/ab6761610000e5eb30cc2399e35ff00ead4f4423
[],https://open.spotify.com/artist/3I9HLZlzyUKjLSOkGhPh4x,sofia shizuko,15,https://api.spotify.com/v1/artists/3I9HLZlzyUKjLSOkGhPh4x,artist,spotify:artist:3I9HLZlzyUKjLSOkGhPh4x,539,https://i.scdn.co/image/ab6761610000e5eba64e230d98b88757f6a2ff0e
"['mexican hip hop', 'rap underground mexicano', 'trap mexicano']",https://open.spotify.com/artist/4H3ePoFDdsl36QwB96jZzg,Anexo Leiruk,38,https://api.spotify.com/v1/artists/4H3ePoFDdsl36QwB96jZzg,artist,spotify:artist:4H3ePoFDdsl36QwB96jZzg,65017,https://i.scdn.co/image/ab6761610000e5eb0609582e3cc3db8ca3e9aa1c
"['latin hip hop', 'mexican hip hop', 'rap underground mexicano', 'trap mexicano']",https://open.spotify.com/artist/3L7OHIT4kfdcDSnnGM0TKN,El Pinche Mara,56,https://api.spotify.com/v1/artists/3L7OHIT4kfdcDSnnGM0TKN,artist,spotify:artist:3L7OHIT4kfdcDSnnGM0TKN,489261,https://i.scdn.co/image/ab6761610000e5eb9ce6b71ba991c7b803d5318a
"['latin', 'latin afrobeat', 'latin alternative', 'latin hip hop', 'puerto rican rock', 'rap conciencia', 'reggaeton', 'rock en espanol']",https://open.spotify.com/artist/0yNSzH5nZmHzeE2xn6Xshb,Calle 13,72,https://api.spotify.com/v1/artists/0yNSzH5nZmHzeE2xn6Xshb,artist,spotify:artist:0yNSzH5nZmHzeE2xn6Xshb,2537144,https://i.scdn.co/image/edabfb79fbf3d71ad9d0961a7b199a1470fe5372
"['bolero', 'latin', 'latin pop', 'mexican pop', 'rock en espanol']",https://open.spotify.com/artist/3zhijRRIZX2B6G2T7vJl9p,Mijares,69,https://api.spotify.com/v1/artists/3zhijRRIZX2B6G2T7vJl9p,artist,spotify:artist:3zhijRRIZX2B6G2T7vJl9p,1374113,https://i.scdn.co/image/ffab76035fe0d88da3d8485f174c13f406c2739d
"['gruperas inmortales', 'nu-cumbia', 'regional mexican', 'tropical']",https://open.spotify.com/artist/0ZCO8oVkMj897cKgFH7fRW,Los Ángeles Azules,77,https://api.spotify.com/v1/artists/0ZCO8oVkMj897cKgFH7fRW,artist,spotify:artist:0ZCO8oVkMj897cKgFH7fRW,4939765,https://i.scdn.co/image/ab6761610000e5eb7e8894328a07bee2e0881ba6
"['latin', 'latin arena pop', 'latin pop', 'mexican pop']",https://open.spotify.com/artist/1Db5GsIoVWYktPoD2nnPZZ,Gloria Trevi,73,https://api.spotify.com/v1/artists/1Db5GsIoVWYktPoD2nnPZZ,artist,spotify:artist:1Db5GsIoVWYktPoD2nnPZZ,2945280,https://i.scdn.co/image/ab6761610000e5eb74d0dbecd38f20a066441720
"['cancion melodica', 'latin', 'latin pop', 'mariachi', 'ranchera', 'regional mexican']",https://open.spotify.com/artist/2MRBDr0crHWE5JwPceFncq,Juan Gabriel,77,https://api.spotify.com/v1/artists/2MRBDr0crHWE5JwPceFncq,artist,spotify:artist:2MRBDr0crHWE5JwPceFncq,5747802,https://i.scdn.co/image/022102638a204d6cb0bb6276ba2656f9c92bf2c3
"['corrido', 'norteno', 'nuevo regional mexicano', 'regional mexican', 'sierreno']",https://open.spotify.com/artist/1dKdetem2xEmjgvyymzytS,Grupo Firme,85,https://api.spotify.com/v1/artists/1dKdetem2xEmjgvyymzytS,artist,spotify:artist:1dKdetem2xEmjgvyymzytS,3292040,https://i.scdn.co/image/ab6761610000e5eb8960a962d78fe67f80453890
"['colombian pop', 'dance pop', 'latin', 'latin pop', 'pop']",https://open.spotify.com/artist/0EmeFodog0BfCgMzAIvKQp,Shakira,84,https://api.spotify.com/v1/artists/0EmeFodog0BfCgMzAIvKQp,artist,spotify:artist:0EmeFodog0BfCgMzAIvKQp,22439458,https://i.scdn.co/image/ab6761610000e5ebdb6951bb42403f5c38da7f9f
"['mexican hip hop', 'rap underground mexicano']",https://open.spotify.com/artist/7sgnuH8OwU32WbGLZwD03q,Neto Reyno,52,https://api.spotify.com/v1/artists/7sgnuH8OwU32WbGLZwD03q,artist,spotify:artist:7sgnuH8OwU32WbGLZwD03q,284771,https://i.scdn.co/image/ab6761610000e5eb1e2fdc1b7e1880a52dd6b08f
[],https://open.spotify.com/artist/0OsXEMLwpyY7b4CuK7W0dG,Chetios Ayala,25,https://api.spotify.com/v1/artists/0OsXEMLwpyY7b4CuK7W0dG,artist,spotify:artist:0OsXEMLwpyY7b4CuK7W0dG,4955,https://i.scdn.co/image/ab6761610000e5eb27dea5a2a22f2232d962ef2c
"['argentine rock', 'latin alternative', 'latin rock', 'rock en espanol', 'ska argentino']",https://open.spotify.com/artist/2FS22haX3FYbyOsUAkuYqZ,Los Fabulosos Cadillacs,69,https://api.spotify.com/v1/artists/2FS22haX3FYbyOsUAkuYqZ,artist,spotify:artist:2FS22haX3FYbyOsUAkuYqZ,2234814,https://i.scdn.co/image/fa61694bc1b21f212fef31d4f6b89e1d0b9ff7fa
"['mexican hip hop', 'rap underground mexicano', 'trap mexicano']",https://open.spotify.com/artist/3AgxRYe2kXEfsZyB07hqJF,Yoga Fire,56,https://api.spotify.com/v1/artists/3AgxRYe2kXEfsZyB07hqJF,artist,spotify:artist:3AgxRYe2kXEfsZyB07hqJF,16669,https://i.scdn.co/image/ab6761610000e5eb8d30dc6568e30188f09566c8
"['desi pop', 'filmi', 'modern bollywood', 'sufi']",https://open.spotify.com/artist/5cB4d4jPYjMT326sjihQ4m,Shaan,65,https://api.spotify.com/v1/artists/5cB4d4jPYjMT326sjihQ4m,artist,spotify:artist:5cB4d4jPYjMT326sjihQ4m,2100993,https://i.scdn.co/image/ab6761610000e5eb23fa6d9a533a78679c867521
['venezuelan hip hop'],https://open.spotify.com/artist/5GcWBUX00IPuWVGMIRK1sS,Residente,68,https://api.spotify.com/v1/artists/5GcWBUX00IPuWVGMIRK1sS,artist,spotify:artist:5GcWBUX00IPuWVGMIRK1sS,898987,https://i.scdn.co/image/ab6761610000e5ebd51bfc13658dc0d8a2af46b3
"['conscious hip hop', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap', 'underground hip hop']",https://open.spotify.com/artist/28ExwzUQsvgJooOI0X1mr3,Jay Rock,72,https://api.spotify.com/v1/artists/28ExwzUQsvgJooOI0X1mr3,artist,spotify:artist:28ExwzUQsvgJooOI0X1mr3,1116321,https://i.scdn.co/image/ab6761610000e5eb02012f4390f3c8e7424766a3
"['mexican hip hop', 'trap mexicano']",https://open.spotify.com/artist/2ai0soTBUbXpAdBZBEKkmh,Pistola Bang,28,https://api.spotify.com/v1/artists/2ai0soTBUbXpAdBZBEKkmh,artist,spotify:artist:2ai0soTBUbXpAdBZBEKkmh,14527,https://i.scdn.co/image/ab6761610000e5ebf10a1b37ccb761ff193f6597
"['chicano rap', 'dirty south rap', 'gangster rap', 'latin hip hop', 'texas latin rap']",https://open.spotify.com/artist/4kKaAWGdu6WW0W415RWaQA,South Park Mexican,63,https://api.spotify.com/v1/artists/4kKaAWGdu6WW0W415RWaQA,artist,spotify:artist:4kKaAWGdu6WW0W415RWaQA,627028,https://i.scdn.co/image/ab6761610000e5eb7d1939bbae5aa20bf104034f
"['mexican hip hop', 'rap underground mexicano']",https://open.spotify.com/artist/171953d8wJbRvl2f36uLDd,King Zoo,38,https://api.spotify.com/v1/artists/171953d8wJbRvl2f36uLDd,artist,spotify:artist:171953d8wJbRvl2f36uLDd,2577,https://i.scdn.co/image/ab6761610000e5ebaa5524f328f6cd7371b23d7f
"['mexican hip hop', 'perreo', 'rap underground mexicano']",https://open.spotify.com/artist/6tJRAxu0HwB2GI9GueEj4l,Faruz Feet,56,https://api.spotify.com/v1/artists/6tJRAxu0HwB2GI9GueEj4l,artist,spotify:artist:6tJRAxu0HwB2GI9GueEj4l,101220,https://i.scdn.co/image/ab6761610000e5eb29ea10afdf40e80591c0640b
"['chicano rap', 'gangster rap', 'latin hip hop', 'west coast rap']",https://open.spotify.com/artist/6L3x3if9RVimruryD9LoFb,King Lil G,61,https://api.spotify.com/v1/artists/6L3x3if9RVimruryD9LoFb,artist,spotify:artist:6L3x3if9RVimruryD9LoFb,364148,https://i.scdn.co/image/ab6761610000e5eb607aabc9bcd03dd778339a6f
