danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.711,0.577,4,-5.787,1,0.26,0.00915,0.0,0.263,0.373,81.057,audio_features,10dS1LyDC8hMXcITvSNFyU,spotify:track:10dS1LyDC8hMXcITvSNFyU,https://api.spotify.com/v1/tracks/10dS1LyDC8hMXcITvSNFyU,https://api.spotify.com/v1/audio-analysis/10dS1LyDC8hMXcITvSNFyU,150907,4
0.68,0.708,8,-6.521,0,0.451,0.109,0.0,0.23,0.385,192.185,audio_features,1oS0MgWyh7KRMvKclAAHBq,spotify:track:1oS0MgWyh7KRMvKclAAHBq,https://api.spotify.com/v1/tracks/1oS0MgWyh7KRMvKclAAHBq,https://api.spotify.com/v1/audio-analysis/1oS0MgWyh7KRMvKclAAHBq,216501,4
0.698,0.672,1,-6.566,1,0.283,0.511,0.000142,0.146,0.6,86.073,audio_features,1cISAsONqDaAr73kUFPLlF,spotify:track:1cISAsONqDaAr73kUFPLlF,https://api.spotify.com/v1/tracks/1cISAsONqDaAr73kUFPLlF,https://api.spotify.com/v1/audio-analysis/1cISAsONqDaAr73kUFPLlF,194001,4
0.793,0.771,5,-3.417,1,0.0959,0.0337,1.51e-06,0.284,0.835,171.943,audio_features,35UUpTmrcFXNIVIN26ujXl,spotify:track:35UUpTmrcFXNIVIN26ujXl,https://api.spotify.com/v1/tracks/35UUpTmrcFXNIVIN26ujXl,https://api.spotify.com/v1/audio-analysis/35UUpTmrcFXNIVIN26ujXl,247308,4
0.714,0.761,5,-4.596,0,0.0427,0.139,0.00035,0.241,0.906,168.022,audio_features,5y7DaS3jAc9eZzcSOoUIwU,spotify:track:5y7DaS3jAc9eZzcSOoUIwU,https://api.spotify.com/v1/tracks/5y7DaS3jAc9eZzcSOoUIwU,https://api.spotify.com/v1/audio-analysis/5y7DaS3jAc9eZzcSOoUIwU,230693,4
0.715,0.703,1,-5.316,1,0.413,0.423,0.0,0.188,0.872,170.121,audio_features,7uYFOLEhhmojSLTyVZ8r4O,spotify:track:7uYFOLEhhmojSLTyVZ8r4O,https://api.spotify.com/v1/tracks/7uYFOLEhhmojSLTyVZ8r4O,https://api.spotify.com/v1/audio-analysis/7uYFOLEhhmojSLTyVZ8r4O,262721,4
0.739,0.833,6,-4.014,0,0.181,0.0496,0.0,0.167,0.73,177.984,audio_features,2QP6HI4BxBrdQdIOA75RSc,spotify:track:2QP6HI4BxBrdQdIOA75RSc,https://api.spotify.com/v1/tracks/2QP6HI4BxBrdQdIOA75RSc,https://api.spotify.com/v1/audio-analysis/2QP6HI4BxBrdQdIOA75RSc,349298,4
0.656,0.499,10,-11.958,0,0.103,0.323,0.0,0.374,0.408,91.924,audio_features,2NL5Cwq6lZZkXGTWhKhhvC,spotify:track:2NL5Cwq6lZZkXGTWhKhhvC,https://api.spotify.com/v1/tracks/2NL5Cwq6lZZkXGTWhKhhvC,https://api.spotify.com/v1/audio-analysis/2NL5Cwq6lZZkXGTWhKhhvC,180003,4
0.787,0.58,6,-7.001,1,0.316,0.675,0.0,0.096,0.657,91.984,audio_features,2crFuExNseuZGM49vZ7j6e,spotify:track:2crFuExNseuZGM49vZ7j6e,https://api.spotify.com/v1/tracks/2crFuExNseuZGM49vZ7j6e,https://api.spotify.com/v1/audio-analysis/2crFuExNseuZGM49vZ7j6e,180507,4
0.614,0.73,6,-7.122,0,0.481,0.509,3.02e-06,0.0805,0.771,78.327,audio_features,47X4qwJQYEB6fhMID6phUx,spotify:track:47X4qwJQYEB6fhMID6phUx,https://api.spotify.com/v1/tracks/47X4qwJQYEB6fhMID6phUx,https://api.spotify.com/v1/audio-analysis/47X4qwJQYEB6fhMID6phUx,215001,4
0.441,0.733,4,-5.642,1,0.339,0.376,0.0,0.223,0.593,81.93,audio_features,57S5WPQ7WcuiJjzDGNMD4r,spotify:track:57S5WPQ7WcuiJjzDGNMD4r,https://api.spotify.com/v1/tracks/57S5WPQ7WcuiJjzDGNMD4r,https://api.spotify.com/v1/audio-analysis/57S5WPQ7WcuiJjzDGNMD4r,118001,4
0.786,0.695,7,-6.079,1,0.364,0.434,0.00113,0.112,0.63,86.001,audio_features,1r4dtaCcrWL1gxyYn0GTwM,spotify:track:1r4dtaCcrWL1gxyYn0GTwM,https://api.spotify.com/v1/tracks/1r4dtaCcrWL1gxyYn0GTwM,https://api.spotify.com/v1/audio-analysis/1r4dtaCcrWL1gxyYn0GTwM,229707,4
0.932,0.484,0,-6.357,1,0.324,0.0343,0.0,0.122,0.403,119.94,audio_features,5Wvw29RKTFSK0IuCd2qs4m,spotify:track:5Wvw29RKTFSK0IuCd2qs4m,https://api.spotify.com/v1/tracks/5Wvw29RKTFSK0IuCd2qs4m,https://api.spotify.com/v1/audio-analysis/5Wvw29RKTFSK0IuCd2qs4m,236069,4
0.811,0.608,4,-7.907,0,0.429,0.318,5.39e-06,0.137,0.597,83.963,audio_features,03LrV2F4RWe8sViFjSLXkI,spotify:track:03LrV2F4RWe8sViFjSLXkI,https://api.spotify.com/v1/tracks/03LrV2F4RWe8sViFjSLXkI,https://api.spotify.com/v1/audio-analysis/03LrV2F4RWe8sViFjSLXkI,161484,4
0.83,0.55,8,-5.121,1,0.304,0.00488,2.01e-06,0.0577,0.763,170.023,audio_features,4ZIHcmTKk4TMEBdStDu9kI,spotify:track:4ZIHcmTKk4TMEBdStDu9kI,https://api.spotify.com/v1/tracks/4ZIHcmTKk4TMEBdStDu9kI,https://api.spotify.com/v1/audio-analysis/4ZIHcmTKk4TMEBdStDu9kI,185118,4
0.725,0.589,6,-8.607,0,0.316,0.562,0.0,0.0956,0.55,79.059,audio_features,05xcn7HwKbSOVSCtO8i3Vl,spotify:track:05xcn7HwKbSOVSCtO8i3Vl,https://api.spotify.com/v1/tracks/05xcn7HwKbSOVSCtO8i3Vl,https://api.spotify.com/v1/audio-analysis/05xcn7HwKbSOVSCtO8i3Vl,274001,4
0.818,0.547,6,-8.457,0,0.312,0.442,0.000177,0.0904,0.677,80.058,audio_features,1OWanE9fdU9vDzcIopOBPL,spotify:track:1OWanE9fdU9vDzcIopOBPL,https://api.spotify.com/v1/tracks/1OWanE9fdU9vDzcIopOBPL,https://api.spotify.com/v1/audio-analysis/1OWanE9fdU9vDzcIopOBPL,189001,1
0.797,0.592,10,-6.999,0,0.274,0.804,1.57e-05,0.0972,0.603,168.062,audio_features,4XhMqjbmp5itrPFNaCrHdF,spotify:track:4XhMqjbmp5itrPFNaCrHdF,https://api.spotify.com/v1/tracks/4XhMqjbmp5itrPFNaCrHdF,https://api.spotify.com/v1/audio-analysis/4XhMqjbmp5itrPFNaCrHdF,212000,4
0.806,0.575,9,-4.806,1,0.311,0.275,4.54e-06,0.11,0.66,169.965,audio_features,5xXaJHNtyBghk2F6AnP2PI,spotify:track:5xXaJHNtyBghk2F6AnP2PI,https://api.spotify.com/v1/tracks/5xXaJHNtyBghk2F6AnP2PI,https://api.spotify.com/v1/audio-analysis/5xXaJHNtyBghk2F6AnP2PI,203546,4
0.942,0.49,8,-7.82,0,0.416,0.0335,0.0,0.143,0.571,117.967,audio_features,4QV1UDysVcpkHOGh2va5nt,spotify:track:4QV1UDysVcpkHOGh2va5nt,https://api.spotify.com/v1/tracks/4QV1UDysVcpkHOGh2va5nt,https://api.spotify.com/v1/audio-analysis/4QV1UDysVcpkHOGh2va5nt,251942,4
0.846,0.768,11,-7.687,1,0.196,0.0939,0.0,0.0805,0.842,146.082,audio_features,2E9f1rauGH8Skmk0eeHGl0,spotify:track:2E9f1rauGH8Skmk0eeHGl0,https://api.spotify.com/v1/tracks/2E9f1rauGH8Skmk0eeHGl0,https://api.spotify.com/v1/audio-analysis/2E9f1rauGH8Skmk0eeHGl0,239021,4
0.804,0.664,8,-8.525,0,0.0683,0.0389,2.25e-06,0.105,0.81,91.913,audio_features,7erN8zduXF9Xm9XnztrRQ2,spotify:track:7erN8zduXF9Xm9XnztrRQ2,https://api.spotify.com/v1/tracks/7erN8zduXF9Xm9XnztrRQ2,https://api.spotify.com/v1/audio-analysis/7erN8zduXF9Xm9XnztrRQ2,214655,4
0.734,0.826,2,-3.099,1,0.112,0.322,0.0,0.0558,0.542,87.99,audio_features,13mi6Ut0rcnvj88hLsTHDx,spotify:track:13mi6Ut0rcnvj88hLsTHDx,https://api.spotify.com/v1/tracks/13mi6Ut0rcnvj88hLsTHDx,https://api.spotify.com/v1/audio-analysis/13mi6Ut0rcnvj88hLsTHDx,242733,4
0.824,0.773,4,-5.474,0,0.195,0.0515,0.0,0.352,0.673,97.03,audio_features,4dNhkIEP4UOw6S1Qe72NRe,spotify:track:4dNhkIEP4UOw6S1Qe72NRe,https://api.spotify.com/v1/tracks/4dNhkIEP4UOw6S1Qe72NRe,https://api.spotify.com/v1/audio-analysis/4dNhkIEP4UOw6S1Qe72NRe,211900,4
0.96,0.347,8,-8.875,1,0.191,0.282,1.51e-06,0.118,0.246,109.978,audio_features,6ioszJr33AdGbRFxV5ni13,spotify:track:6ioszJr33AdGbRFxV5ni13,https://api.spotify.com/v1/tracks/6ioszJr33AdGbRFxV5ni13,https://api.spotify.com/v1/audio-analysis/6ioszJr33AdGbRFxV5ni13,148730,4
0.581,0.548,11,-11.067,1,0.348,0.0232,0.0,0.236,0.394,176.52,audio_features,25VbuK6Klmm1rf7CpmDaT2,spotify:track:25VbuK6Klmm1rf7CpmDaT2,https://api.spotify.com/v1/tracks/25VbuK6Klmm1rf7CpmDaT2,https://api.spotify.com/v1/audio-analysis/25VbuK6Klmm1rf7CpmDaT2,219788,4
0.72,0.662,10,-9.315,0,0.206,0.117,0.0,0.449,0.727,85.002,audio_features,56paUZGrA8bfLMCasbGMgd,spotify:track:56paUZGrA8bfLMCasbGMgd,https://api.spotify.com/v1/tracks/56paUZGrA8bfLMCasbGMgd,https://api.spotify.com/v1/audio-analysis/56paUZGrA8bfLMCasbGMgd,237187,4
0.806,0.654,8,-8.252,0,0.216,0.276,0.0,0.0856,0.487,90.012,audio_features,7uQOMsqi4Hnpuoa3o7gZEB,spotify:track:7uQOMsqi4Hnpuoa3o7gZEB,https://api.spotify.com/v1/tracks/7uQOMsqi4Hnpuoa3o7gZEB,https://api.spotify.com/v1/audio-analysis/7uQOMsqi4Hnpuoa3o7gZEB,201688,4
0.704,0.873,11,-4.057,0,0.144,0.121,5.12e-06,0.24,0.742,154.914,audio_features,19FsxX4RthRMZGfXkImdCb,spotify:track:19FsxX4RthRMZGfXkImdCb,https://api.spotify.com/v1/tracks/19FsxX4RthRMZGfXkImdCb,https://api.spotify.com/v1/audio-analysis/19FsxX4RthRMZGfXkImdCb,366880,4
0.661,0.986,0,-2.364,1,0.0866,0.0717,0.0,0.484,0.702,154.062,audio_features,5V7tiPACUHIMH5o8j44vMl,spotify:track:5V7tiPACUHIMH5o8j44vMl,https://api.spotify.com/v1/tracks/5V7tiPACUHIMH5o8j44vMl,https://api.spotify.com/v1/audio-analysis/5V7tiPACUHIMH5o8j44vMl,209758,4
0.65,0.558,0,-3.082,1,0.0309,0.368,0.0,0.303,0.725,141.82,audio_features,7paFC3FEu1WtPVP4Do6VZN,spotify:track:7paFC3FEu1WtPVP4Do6VZN,https://api.spotify.com/v1/tracks/7paFC3FEu1WtPVP4Do6VZN,https://api.spotify.com/v1/audio-analysis/7paFC3FEu1WtPVP4Do6VZN,159533,4
0.832,0.523,6,-7.672,0,0.372,0.191,0.0,0.0621,0.964,168.069,audio_features,4Orw6MjT2VFgwGH9YI9ATY,spotify:track:4Orw6MjT2VFgwGH9YI9ATY,https://api.spotify.com/v1/tracks/4Orw6MjT2VFgwGH9YI9ATY,https://api.spotify.com/v1/audio-analysis/4Orw6MjT2VFgwGH9YI9ATY,200000,4
