artist,album,uri
Gera MX,Los Niños Grandes No Juegan,spotify:album:2XvDnpebvUFa49NKpPvakc
Aleman,Humo en la Trampa 3,spotify:album:52pj5NqKKtffjSmxvMzhlY
Simpson Ahuevo,24-7,spotify:album:2RM9etmvSKY0DT3wdwF8FU
Lil Supa,C.R.A.C.K,spotify:album:6GihHKL5wJmAGqZfPZXTBo
Cartel De Santa,Vol. II,spotify:album:01UJJt3Aregqk8jZMDPB5x
Mac Miller,The Divine Feminine,spotify:album:6f6tko6NWoH00cyFOl4VYQ
C-Kan,Clasificacion C Vol.1,spotify:album:6vPMTvNEFkY9V7nxFgxjHZ
Iluminatik,Barsmagedon,spotify:album:0e16UfBpeyH745a4SUOzzh
Jarabe kidd,Riding High,spotify:album:6LRr82gfRDTpulvKBtt1in
Marconi Impara,Zona,spotify:album:3ntNkSBistVI2LnJLOXM9x
Tabernario,El Regreso del G-Funk Vol. 2,spotify:album:6tRFfmH926lmkq7tJceOIk
Remik Gonzalez,"Las Viejas Más Buenas, Vol. 2",spotify:album:3hX3fnhBOQC2sLx8b06w1Q
Santa Fe Klan,"Vuelve, María",spotify:album:4I3he4qgdNJeSF8JKOKKYT
Tankeone,La Nota Roja,spotify:album:0uabs9ZXeUBIhru5NDWBQe
Dharius,"Mala Fama, Buena Vidha",spotify:album:6HDPRXDl3Vsj8ksZyfpP5V
Aleman,Mi Tío Snoop,spotify:album:6ugE8dVzZdepHyyGxCt2kW
Bad Bunny,YHLQMDLG,spotify:album:5lJqux7orBlA1QzyiBGti1
Cartel De Santa,Volumen Prohibido,spotify:album:1s6Kp6CZX6bvDSfXHxhrMW
Black Star,Mos Def & Talib Kweli Are Black Star,spotify:album:6GRzmk9UGL7odxprOPop1Q
MexFutura,La Cabeza,spotify:album:1q8fvMRQoaNaSTlZdw7wrE
Natalia Lafourcade,"Un Canto por México, Vol. 1",spotify:album:6yDcHjoEqNkkl9UC6KSlFE
The Game,Born 2 Rap,spotify:album:5MDmKDe9kmJBsf8yYn8dUM
Lefty Sm,Agarré Monte,spotify:album:3Y6MtcgsnEMEzIiHlkd1al
The Guadaloops,Almanueva,spotify:album:6UsJMFZbhzvWrTDX7vr3pr
MexFutura,La Última Selva,spotify:album:4r6p45TPwLsuviXJVHQflb
Anexo Leiruk,Otro Día Menos,spotify:album:1FbMm1pioGi4Df4D1xcyFl
Berbal 4 Verde,Piraton y Drogadicto,spotify:album:1x8hR9cW5KvZ0GcJ2J81Jl
Faruz Feet,Faruz Vs. Proof,spotify:album:4f0iuEJ66gNenOENDbjva8
Calibre 50,Cuidando El Territorio,spotify:album:6kPeskyrkdkWT3xFYx9kvb
Various Artists,Classic Drug References Vol. 1,spotify:album:41gshsgD8qInjYYN6hiD88
Neto Peña,Flow Azteca,spotify:album:1OW0uAdcaJdw6HM974sGEy
Natanael Cano,Soy El Diablo (Remix),spotify:album:37zRKUEX9zhmGThutsr2Fo
Neto Peña,Pachuco Pacheco,spotify:album:104DB48VjWi8EBx7my3vh2
Los Enanitos Verdes,En Vivo,spotify:album:6zGGjiyCeY36tgNrxsFrK9
Nicky Jam,Te Robaré,spotify:album:4ykGcrqJO8PcTePuNOFMxa
Nas,The Lost Tapes 2,spotify:album:4tRNl7PwUzXrxTP3YZjWgS
Aleman,Pase de Abordar,spotify:album:67PwYP28Mu8Usty4NGSKtw
Charles Ans,Los Raros del Salón,spotify:album:4vvxEju1Z38xkRQBkfsGjk
Smoky,Asi Creci Yo (Yo No Creci En El Bronx),spotify:album:4A1AMdFCleeoSQQH6UokSf
The Guadaloops,Caoscrito,spotify:album:4ok4Js3Vnc5Zof74ldlRfr
Khaled,Delali,spotify:album:715zjWzBNrKdsDgMmR9pHB
Santa RM,La Cara B,spotify:album:0yripwfPMQPbrXPCN9XdEA
Neto Reyno,Honey,spotify:album:2BEpgs48eVJQr3dmxLNxtM
Nanpa Básico,Los No Tan Tristes (Álbum),spotify:album:2z1eY7EHl7VGDaDdyEW1LM
Various Artists,Rapza 6,spotify:album:0IN9i8c0N96K0wdlJN1aez
Yoga Fire,Lázaro,spotify:album:3iiMXOjZacdCpHcOfp4r3h
Various Artists,Rapza 2,spotify:album:5WUS2llnPwYRGUKJ1uyYjL
Gera MX,No Me Mates Antes De Hoy,spotify:album:0BE8t2uJrcYHL9BpnIz4KG
Elote el Barbaro,Camaleones,spotify:album:3qbeaGHvshA1NZDv0slOpj
ILUMINATIK BUFFON,Cámara de Gas,spotify:album:7yUPoBY0P5k95uVytvwIWW
Charles Ans,Mil Vueltas a Este Pantalón,spotify:album:7ITY1t8zqUt32TvHxpihOb
Lil' Kim,Hard Core,spotify:album:39xHAZmTUSQJyXt6ebpjKT
C. Tangana,El Madrileño,spotify:album:52QyC9nSbgtHFXyQRHsXJ9
Various Artists,Rapza 3,spotify:album:2xJT3RAa4WNjHoDceXUhPp
Residente,Bellacoso,spotify:album:0un8ZRojNl6fYFRHYzQ9GG
Denilson,CÓDIGOS,spotify:album:5HMWKVH3tJnZAriq0YeeQ8
El Grave,Código de Barras,spotify:album:4VGEcFgYzXr7mz7C43Jgyp
Remik Gonzalez,Maria,spotify:album:70n07qVrWCKKf7S0Nq6iNV
Celso Piña,Barrio Bravo,spotify:album:0ZCip2zkf5EGx7j4QeRRUD
Lil Supa,Caimanes | Caballos,spotify:album:4ycgz6iUHQtRkjIY7tLs6S
La Banda Baston,Remixes Fantasma,spotify:album:71OOY6O8tNRJNxTW4y3gGy
Gera MX,Bye Bye,spotify:album:5BjCKJq6y9DVugqzdMaJoR
Anexo Leiruk,Rayo de Luz,spotify:album:0XGohewcAIJRcrab0J4WAP
Charles Ans,Ataraxia: A Plena Luz del Dia,spotify:album:2ioeDgPaHJ7cID0n6KrkXi
Simpson Ahuevo,Órale,spotify:album:5xVX8K4K9c0whrQ0HB5d4P
West Gold,Stay Gold,spotify:album:74nrRZkOkVCPZQKfOOQkGW
Eddie Zuko,Mijo,spotify:album:5ofCcEGViMMyJpRAtu8Qbh
Millonario & W. Corona,Así Soy Yo,spotify:album:7I1mThh5NCgS2BqrAWcMdi
ScHoolboy Q,Blank Face LP,spotify:album:0YbpATCIng8Fz2JrfHmEf7
Simpson Ahuevo,Los Muchachos,spotify:album:47LGLQfkMl75EjZ1V6IonJ
Hordatoj,Beat Tape (Volumen 1),spotify:album:6DqfUoufs5b6CGLhXjVSZu
Rago,Mob Ties,spotify:album:7pOYuo8oepGKcgFNGDYItM
Becky G,Sin Pijama,spotify:album:6hAxqfWO3xDGzjs8yad1pB
Lil Supa,En Vivo Madrid 2017,spotify:album:23DCR7MsguP7C1wKnYSNw1
Yoga Fire,Wavy Super Latin,spotify:album:7o3ToyN6g1uvXsDLD3LQxM
Various Artists,Ojos Tumbados,spotify:album:5bVfYgtEBKQDayvcxkyYq9
Hood P,Xpress Play,spotify:album:0R8zI1w6tbrUE3lkRr2PXJ
Unote GR,La Mexícana,spotify:album:6EbQLQo1Uz5sTHLng9gZLm
Anestesia,10 Años Después,spotify:album:0QyJUDZFKNVr8IAcJyGrA9
Foyone,La Jaula de Oro,spotify:album:6aRPvckrFLSbZWH5EVuwWb
Natanael Cano,Trap Tumbado,spotify:album:6xO4H08B7Ps67z9wuPExZb
IDK,Is He Real?,spotify:album:2JnOb2SpW5DSOHhbW6GKru
La Banda Baston,Luces Fantasma,spotify:album:0gzZ8kGuKfDlVtBVmDLNJj
Various Artists,Audio Directo,spotify:album:7k00fK1OTjOmfMaS6OpoSZ
Fntxy,Famous G 2,spotify:album:0Xz8zvadxggxgpk0YUA9uL
Eddie Zuko,Out of My Mind,spotify:album:4jZI68nV3BDEpEiCHbTy4t
Gera MX,Botella Tras Botella,spotify:album:3Jv8XjzlQel3avRbOzysXB
Faruz Feet,"Faruz Fit, Vol. 1",spotify:album:4Uo5YhvoKTSbSGjv8iv9DL
Bubaseta,Rompopopom,spotify:album:3TnlBSp3hY70SU2o5qen6r
The Guadaloops,La Viuda,spotify:album:2G4bYCAO1h9mQvFUYbXzuh
Lil Supa,ERA,spotify:album:0WajKvcJhGExoAKuekLmoU
50 Cent,Get Rich Or Die Tryin',spotify:album:4ycNE7y1rp5215g1kkqk1P
Remik Gonzalez,IceWeed-Man,spotify:album:3q5JdUUCimWQCm9bRsxcD8
Código KM,El Fin Del Mundo,spotify:album:4XssST6ZjeUKutADRKOQHX
Iluminatik,"Grandes Éxitos, Vol. 2",spotify:album:0MbyCMVuUQYUAJ4B1bLExm
King Zoo,One 4 Da Good Times,spotify:album:0SWr5Egie3SfPmUqxKEev2
Teeam Revolver,Punto de Quiebre,spotify:album:1GxhmPcuyNST8j5JEataUT
Remik Gonzalez,"Las Viejas Más Buenas, Vol. 1",spotify:album:1WWRy1zjzmnGq8jezVxjHD
Eminem,Kamikaze,spotify:album:3HNnxK7NgLXbDoxRZxNWiR
La Plebada,De Lo Más Solicitado,spotify:album:1JzBKmGquiMOsmZLXwvgCe
Dreamville,Revenge Of The Dreamers III,spotify:album:2n3quCZ0anEa46j2IveacI
Robot95,Mi Negocio,spotify:album:6xJfzfCGLPktvj4Eh6wAKo
Gera MX,"444 Paradise ""Encerrado, No Enterrado""",spotify:album:1mdbJt88iwqkl0zEMGA8XH
La Plebada,Bien Jalado,spotify:album:0TSL8vd68aoxgLvXt5U9Jl
Robot95,José Ramón,spotify:album:5Yu7gq5q9e9Iegb4dc9zxJ
C-Kan,Voy por el Sueño de Muchos,spotify:album:6edIhKzuFGTwMA512iHPXn
Charles Ans,Smile: Remixes y Cervezas,spotify:album:0glVixCJ2Q1whsfu7acCej
Aleman,Humo en la Trampa 3,spotify:album:3wuSawy2RYWQO6ZIRMxRfU
Faruz Feet,"King Kong Mixtape, Vol. 02",spotify:album:1LdaPLqfurLwHqg4Idmg7J
Mac Miller,Swimming,spotify:album:5wtE5aLX5r7jOosmPhJhhk
La Bestia,Vagos,spotify:album:659AbE0nWrkWBVzZ2rHxYq
Celso Piña,Las 20 Poderosas,spotify:album:3u6K8bxqLqZrdtdYIJEonn
Various Artists,Rapza 5,spotify:album:4DJq3btDQH1rTfYan6ziyu
Charles Ans,Sui Géneris,spotify:album:5IT4wCmpYj4zeRJfQOaxL4
Aleman,Humo en la Trampa,spotify:album:1vAR6B45xlbPVu0EljjK0u
Rossi Rock,The Main Chambelan,spotify:album:4ZVY3k0YfVa8kiQPXcMVEn
Simpson Ahuevo,Jorge,spotify:album:176ocuyDghIgtnqlRHl7lR
Mike Diaz,Renace,spotify:album:3T14jWL8l2JUSYzh67Crf6
Cartel De Santa,Cartel De Santa,spotify:album:54AKlknAxFRfXDXtwiAhRa
Lefty Sm,Necesidad,spotify:album:7iSPRgLrTrRr7Ed5W2tws6
Santa Fe Klan,Santa Cumbia,spotify:album:25foFKv0CXizpToKxaNOFS
Teeam Revolver,Miradas,spotify:album:1vdDRtiJZwUskZKYQh9Ida
Santa Fe Klan,Asi Soy,spotify:album:1DgUPUAAgrQLV0h6rSVABP
Eminem,Music To Be Murdered By,spotify:album:4otkd9As6YaxxEkIjXPiZ6
Rich Vagos,Vxgo$,spotify:album:2x29bAqGNEWeYvkRLPSFLP
C. Tangana,Avida Dollars,spotify:album:3xFCSN4oKeJE1lJ2c5KLZQ
Go Golden Junk,Según,spotify:album:0LFeLx9sYo4qklZKQ38ifL
Los Tigres Del Norte,Y Su Palabra Es La Ley Homenaje A Vicente Fernández,spotify:album:3K5t0VV86VMgcOa49dkDez
Remik Gonzalez,High Con Class XIII,spotify:album:5PZxScqkkCa4bjdZcq9fuh
King Lil G,Paint the City Blue,spotify:album:5DxtqEEGTHzE2W1k4bctpI
Dee Jay Masae,México en la Mira,spotify:album:4v0B4dwjpu68hGnFfATncc
Gabylonia,Boom Bap,spotify:album:1H5CLSWK3L8JDv90crdOMS
Denilson,Problemas,spotify:album:6RshZ6diEoUBldSTEeWlEd
Anexo Leiruk,El Chacal,spotify:album:54DMlAN2PIAWFlYayZ7pra
Nanpa Básico,Compilado Viajero,spotify:album:6DWqMdkX86GkbbUKVekw6C
Wu-Tang Clan,Enter The Wu-Tang (36 Chambers) [Expanded Edition],spotify:album:3tQd5mwBtVyxCoEo4htGAV
Guaynaa,Monterrey,spotify:album:5e62RmU6dB91wQA6TWrIyL
Various Artists,Rhythm + Flow Soundtrack: The Final Episode (Music from the Netflix Original Series),spotify:album:31zwOgFeoG3vPPWCohxh7l
Cartel De Santa,Vol. 4,spotify:album:7LP8ofOXYH2AGzc8ZCt0Oe
Mac Miller,GO:OD AM,spotify:album:2Tyx5dLhHYkx6zeAdVaTzN
Fntxy,A Lo Plebe,spotify:album:4MDoIrYsJUV4Gm9OvYB8Tk
La Banda Baston,Luces Fantasma,spotify:album:59HfislZ5AH1pHZLUPy0Dm
Various Artists,Rapza 4,spotify:album:4hpPucmpEKoKqK1PiQ01XA
Scanlous,Killafornia,spotify:album:41nxopE2UjPBOuWDDnwFa6
MOF,88,spotify:album:3ZX7eeyUfSW64hPu27QmPX
Los Chavalos De La Perla,Soy Quien Soy,spotify:album:39hGIR0acQKDthB4sW9YLn
Cartel De Santa,Sincopa,spotify:album:5bZ7Jgk7YE35ULHWO3wgHP
Nunca Muere,Lost Never,spotify:album:2dNvHbnHvCE4ro4cvNOmls
West Gold,West Gold,spotify:album:4cM23aZSWB8PP6LtYRNXrs
Denilson,Roto,spotify:album:1abUZqAoOCIQTyCZe1V200
Iluminatik,Metanfetarima,spotify:album:2zHUtazrb4vsNJ301wbezF
Robot95,Too Much Flow,spotify:album:1lp5sffsnaXjF5W5BxMKrK
Gera MX,Nunca Sabrás Cuanto,spotify:album:1cC3Y41N4BMgCUnBvNW36H
Aleman,Humo en la Trampa 2,spotify:album:48081X2ns6kHKFS84IowXl
Akapellah,Goldo Funky,spotify:album:28TBy3fqYNUSp4CTzQSJJQ
Nanpa Básico,No Se Sobrepase,spotify:album:1u9AhrCsNV1rpokYfUr7zC
Run The Jewels,RTJ4,spotify:album:6cx4GVNs03Pu4ZczRnWiLd
Kendrick Lamar,DAMN.,spotify:album:4eLPsYPBmXABThSJ821sqY
