name,uri
A.C.O,spotify:artist:0x2z4hugJaiGdTP0lzhxvO
Achepe,spotify:artist:1b170j0PpkgYWGHMPRsNEM
Aczino,spotify:artist:4r1ZDYKzPt3iIjuq8LbT6X
Adan Cruz,spotify:artist:645xd9cHiiLqqehoLzLMDR
Akapellah,spotify:artist:6fMZytDgX1Q9OV6ndSugym
Akasha,spotify:artist:45dFGC8WhidxNiuhMbTIvo
Akil Ammar,spotify:artist:6lOqlvNZmpkmHNN1Ud4KXr
Akwid,spotify:artist:3mYFuz6iY7D9X78rOXg5CG
Aleman,spotify:artist:4QFG9KrGWEbr6hNA58CAqE
Ana Tijoux,spotify:artist:40JMTpVRUw90SrN4pFA6Mz
Anestesia,spotify:artist:67CKA8fRCdi0tt6q6IR0JG
Anexo Leiruk,spotify:artist:4H3ePoFDdsl36QwB96jZzg
Apache,spotify:artist:2pvyE8W9RWESQxkyAWZqgY
Arianna Puello,spotify:artist:19Xm04ZiVtOB6J2Ti5vXhL
Audry Funk,spotify:artist:7eWbFrseRms5D5quwPDkm2
B-RASTER,spotify:artist:4TH5DHRtzUUijYshUgKdby
BCN,spotify:artist:1tITJo6GckWZXtVmadfh0Q
Bipo Montana,spotify:artist:6JG2QQcaQBzinELNvu9PRk
Bizor,spotify:artist:7F6fxMv0tz2Clj8H02Y2k7
Black Hippo,spotify:artist:3A81XYuxzrdxL64kWEvE9K
Bocafloja,spotify:artist:2bj9MQez88g09q4NSr2xjS
C-Kan,spotify:artist:1QhaqxeqF9sipS2gwbEKpu
C. Tangana,spotify:artist:5TYxZTjIPqKM8K8NuP9woO
Caballeros Del Plan G,spotify:artist:568lw0anJJJnjTXII3gHaf
Calle 13,spotify:artist:0yNSzH5nZmHzeE2xn6Xshb
Camaradas Camarão,spotify:artist:5tDe323KtgqFfze1MzLR7z
Canserbero,spotify:artist:1wGIhYkKWSq4yACtTkCkSX
Cantar de Siempre,spotify:artist:3NLX7AeROsBK3BKBvB1teA
Cartel De Santa,spotify:artist:07PdYoE4jVRF6Ut40GgVSP
Charles Ans,spotify:artist:5lYeiQxUTcGKVgAuTqbTeL
Control Machete,spotify:artist:628gUkswCfCS1hIOOHmIpK
Cozy Cuz,spotify:artist:3ScIigEm9KZUrUQtXzBmKJ
Criolo,spotify:artist:37ZflmHTdxkSLQuT8w9NBs
Cromosapiens,spotify:artist:3KjNRzszj0u6U60BtItH5j
Crooked Stilo,spotify:artist:4QsUyMUsPjS34t06pGpsyH
Cruz de Infona,spotify:artist:3pOfD7ysvM9LKys4rkQBmY
Cráneo,spotify:artist:05aVtfDzBvg9eVu9MAZPGD
Dabeat Ramírez,spotify:artist:1MwCl72v0M7JGgZOwLexzp
Danger,spotify:artist:23TYM4mYLQjyJLr4x89MjH
Dee Jay Masae,spotify:artist:04cas0EFOUlG1f5exg4s1Z
Denilson,spotify:artist:31opIYTivWACiXXzX2khlj
Dharius,spotify:artist:66RfYVdftqnuHRicyClgL0
Dj Gecko,spotify:artist:6nYkQZXt1BPbVrmd4vAXJZ
Doctor Zeta,spotify:artist:3MlYlk4xGwB7uAPBuVd11h
Don Kalavera,spotify:artist:2nJOVl8u7PntefIs1Uwb4z
Ed Maverick,spotify:artist:3JSSjGYcIkgsrz7892CelT
Eddie Zuko,spotify:artist:4AxSQnOMPd42KI149MWsub
El Grave,spotify:artist:0xm3a0TTyezKPQrecSXskc
El Makabelico,spotify:artist:0rJ0xlAQI0wLRucDRoQQbO
El Pinche Mara,spotify:artist:3L7OHIT4kfdcDSnnGM0TKN
Elote el Barbaro,spotify:artist:0yWcBatdQPfGvY4XEGeD6m
Emicida,spotify:artist:2d9LRvQJnAXRijqIJDDs2K
Ente,spotify:artist:0ceUrvjzA1fW1Xr4Ed6T0F
Eptos Uno,spotify:artist:3fo4UvMNzZUCFS90Roh5iK
Eric El Nino,spotify:artist:1PykidvCp6SM4KLJXDeprl
Faruz Feet,spotify:artist:6tJRAxu0HwB2GI9GueEj4l
Fntxy,spotify:artist:7I85Ma5xjAo6nlvqOCIiWx
Fume871,spotify:artist:4A0zvhdGzPzwgotxI5O3ci
Gabylonia,spotify:artist:1dTtCb4nYTZLKpTnJ1f5uU
Gavlyn,spotify:artist:58ASRfojjs1J8bhyuUh1tI
Gera MX,spotify:artist:2hejA1Dkf8v8R0koF44FvW
Go Golden Junk,spotify:artist:2tU377oBzcCBbRNeVve8FC
Gordo Fu,spotify:artist:4gwOZvQmA7iPkCR9gApLFh
Gregory Palencia,spotify:artist:4r49wT7fgbWKiM6UDXimL2
Grupo Codiciado,spotify:artist:4aWhlVjiUjYHpVWBPP8AFc
Hadrian,spotify:artist:2F9icYS5KP4Td9nbxIjo9q
Hispana,spotify:artist:7rTmbfDJtDCjoy8XK5Dsj5
Homegrown Mafia,spotify:artist:79VjkJJEo8D7HbNfDWfFtJ
Hood P,spotify:artist:4ckERGiCZAleOaQa5OVCdu
ILUMINATIK BUFFON,spotify:artist:7CvKsTEWv1BS3LydN8HgG6
Ilegalez,spotify:artist:1Fhcsda9LHOapGEZpOoAEj
Ill Mascaras,spotify:artist:10J3a6GsujuosUYXJ4DL5y
Iluminatik,spotify:artist:0N6H5exnFMoW4yNQ3vDJ3Z
Inspector,spotify:artist:4OiCK9NnTWhakDIG57uBUA
Jarabe Kidd,spotify:artist:1wejZduUPMwswpYaAX94VD
Jarabe kidd,spotify:artist:5absue45Q798sotcg1d0FD
Jay Romero,spotify:artist:4VECwDIJ0DYczPqCyP85kQ
Jess Garcia,spotify:artist:1sSLZnaAuYtFZk5jtwVDEh
Juancer El Bastardo,spotify:artist:4wTWBly84lNKlbP2F8u1Ke
KDC,spotify:artist:5caJ4jP84rqxI8JJzW8kK0
KRYZ,spotify:artist:6oIDuk4dvtocITReSG81Kf
Kartel De Las Calles,spotify:artist:35ljVFZsrwKC0Euug5l1Va
Kase.O,spotify:artist:7GmXwGXJSsmWTkCyk5Twux
King Lil G,spotify:artist:6L3x3if9RVimruryD9LoFb
King Zoo,spotify:artist:171953d8wJbRvl2f36uLDd
Kinto Sol,spotify:artist:0nOyxRsVicKeiBbB6zdIMu
Kryz HLM,spotify:artist:2C4XRIuhtMu0kN2H1MBJxT
La Banda Baston,spotify:artist:3vV4Tf1iC8vEP9fLOLGUfP
La Orquesta Vulgar,spotify:artist:0p5jYgzbX7i6ESYOAXGzrJ
La Plebada,spotify:artist:4RtYPfT9hi1qBolEuVArOG
La Santa Grifa,spotify:artist:1oH2B8tcHn4Gpl2bmmyd4A
Leazzy,spotify:artist:4iPx95BzuqFwzfmIMPBC1p
Lefty Sm,spotify:artist:6eXHRfK9Ad3IpMpSAqvcDf
Letra J,spotify:artist:3A746HzuSfcjocPf4njHCi
Lil Supa,spotify:artist:0qHbO3z6lgLE6ZYCkQBo1K
Lirika Inverza,spotify:artist:214wdmDstodTL0SEEPDyxb
Lng Sht,spotify:artist:2q9p1IXueDbcN4de5C9fI2
Logan Hate,spotify:artist:3duZndoIzAXtBJj8op4Abx
Los Aldeanos,spotify:artist:4Y6VI2Mfdhvb1RImggzOiY
MOF,spotify:artist:0WAabvKqQjPexI9UlQZ8sk
Mac Miller,spotify:artist:4LLpKhyESsyAXpc4laK94U
Malva,spotify:artist:5ZEEr5JlY0El5cnzFqQRKe
Manotas,spotify:artist:0BkX514VOBBW2ECOWNnhds
Maxx Gallo,spotify:artist:30XfbCbtW4PAJ5mvhoajY2
McKlopedia,spotify:artist:1PNgAcUW6UgN59okEaTpvG
Menace Wp,spotify:artist:6pszlbUcjexObGYRPy5Pcd
MexFutura,spotify:artist:16yvPTKPf2gSF9p2B7GlwF
Mexican Institute Of Sound,spotify:artist:4TPTW3cTwUtiihgOMSQfmy
Mike Diaz,spotify:artist:5pR3pEU0bCMZhhAzag3DUz
Millonario,spotify:artist:2N2aJ1SXQxMkhHD8C6fhYD
Millonario & W. Corona,spotify:artist:31l8FA2bO5qxpqf8uhV5eZ
Mime 871,spotify:artist:3lrhy6KigCHdcc0vOSTWoI
Molotov,spotify:artist:27Owkm4TGlMqb0BqaEt3PW
Nanpa Básico,spotify:artist:1cUpGtXcSQsovNYEZOQgOG
Nathy Peluso,spotify:artist:3VHAySZQPlfGlNLslzXYpN
Nefftys,spotify:artist:6QM7gWmb9MHZG1gFmk7gxJ
Neto Peña,spotify:artist:0U5RYP2HMdGv2GhicLhkOI
Neto Reyno,spotify:artist:7sgnuH8OwU32WbGLZwD03q
Neztor mvl,spotify:artist:2gTGdg07eySakTX6AJDrcY
No Rules Clan,spotify:artist:6i28S1MHCSNJtufoq0DnPv
Nunca Muere,spotify:artist:7JPuolk7ddUtMTmmGwS5Xp
Ovi,spotify:artist:4o0NtnL2m0lzZmEdRas1qv
P.FLXWS,spotify:artist:6XBn0E2JD6JTDKCh1a2j7g
Panteon Rococo,spotify:artist:11mqrDSFRRz8g0Wb3syJj5
