name,show,uri
Robot95: Empezamos desde abajo y seguimos siempre arriba I El Flowcast I Episodio 5,El Flowcast ,spotify:episode:47n6FsCAhlmw6bSA0fHsRQ
"Santa Fe Klan: Su historia, del barrio al éxito | El Flowcast | Episodio 2",El Flowcast ,spotify:episode:7HKZDraWmu6Zp0sLFo977f
"Adán Cruz: El ascenso, la caída y su renacimiento | El Flowcast | Episodio 3 ",El Flowcast ,spotify:episode:5s8jqdhJFxYD2XCZ7riTLl
Álvaro Díaz: Ser vulnerable y diferente es el camino I El Flowcast | Episodio 4,El Flowcast ,spotify:episode:6uHpdbeGd5IvY3DoosZ2S3
Eladio Carrión: El difícil camino de un líder del trap latino I El Flowcast I Episodio 7,El Flowcast ,spotify:episode:0Dkea3DDhXYqFQ6qp71Cgw
West Gold: La esencia del G-funk en la Costa Oeste mexicana I El Flowcast I Episodio 8,El Flowcast ,spotify:episode:6lujZoOVKXK4dFa8T71gTg
Simpson Ahuevo: La historia y la visión del morroeste I El Flowcast I Episodio 6,El Flowcast ,spotify:episode:00bn3DYEUeJ3ZQNGz6fdAc
Menos De Quinientos,RADIOSUENARECIO!,spotify:episode:3qOWK7q1Mh8DYgzi6cvLeu
Drake: 'Take Care' | Vol. 1 Ep. 15,NO SKIPS with Jinx and Shea,spotify:episode:79kmlpR6D1RKIKdADUBVHL
Jeezy: ‘Thug Motivation 101’ | Vol. 1 Ep. 12,NO SKIPS with Jinx and Shea,spotify:episode:4XdCQQFcgdZueVZnJQvmg1
Tupac: ‘All Eyez on Me’ | Vol. 2 Ep. 1,NO SKIPS with Jinx and Shea,spotify:episode:3ezhGgfo35BsNXFwDvW555
Historias de un Huevo Duro,Chicanio Podcast,spotify:episode:62FyAUYvFOkKKsk3986Dzv
