name,publisher,uri
Chicanio Podcast,Carlos y Geo,spotify:show:3iSN1Gd9o5SLBtpEGjJFQE
Chicanio Podcast,Carlos y Geo,spotify:show:6MalKIA4X7hLPCkTTLK38N
El Flowcast ,Héctor Elí,spotify:show:34K5mzRHB7F94m8khnZvEQ
FRESH,UC Radio,spotify:show:6OvbuVn3iQb9H0xUbw8LVf
Hijas de Internet,Hijas de internet,spotify:show:4HqBnWXPVusZbh1meZr0Fk
Key Notes,Dissect & Spotify Studios,spotify:show:4SRL3XXazCfNzUxfDhE9GH
LATAM Minds,ELIA,spotify:show:1BncjQN6iZKb0a5qY4MxV9
Lo Que Ando Oyendo,Chekos,spotify:show:15KQCx91A13fKQbtXUsNzh
Más Rap,Chekos y Neto Alonso,spotify:show:5cydvDwWcE1hMZo7lCB0cs
Quail data por tacos de datos 🤓🌮📊,@tacosdedatos,spotify:show:5oiSRDgi4G49LI6NRIYouk
RADIOSUENARECIO!,RADIOSUENARECIO!,spotify:show:4LCEAC8PKMOlIPobOzGdaD
[Deprecated] Quail data,Sergio Sánchez,spotify:show:53uIH8OC4b5v7qJOlidlGo
elDevShow,elDevShow,spotify:show:0mI1jbPfYOzje8C2cpkZd6
pycastR,@FerroRodolfo y @tacosdedatos,spotify:show:5tAfL2f6NXqCuoitV7cxUs
