artist,album,track,uri
Akapellah,Goldo Funky,Big Bills,spotify:track:4tsRRPcyzGXpxIiu2pqDec
Remik Gonzalez,"Las Viejas Más Buenas, Vol. 2",Como un Animal,spotify:track:6DkRNDnwukkPbkMhWaozSw
Maluma,Hawái,Hawái,spotify:track:4uoR6qeWeuL4Qeu2qJzkuG
Zoé,MTV Unplugged Música De Fondo,No Me Destruyas - Live,spotify:track:7jJzJXyWimbqGObhwNwQBw
La Banda Baston,Luces Fantasma,Memorias (Skit),spotify:track:2QXPc3TKivO84iV62CX1S3
Nanpa Básico,Compilado Viajero,Ya para Qué,spotify:track:3y9j5yPopATAtgnGm6k5e8
Ab-Soul,Do What Thou Wilt.,D.R.U.G.S.,spotify:track:09avKKLKXaJcbeaGTmLCOs
Achepe,HenceForth,Fue un Placer,spotify:track:4CvdUVFIbwsAfiOHRIUSvm
Nanpa Básico,Los No Tan Tristes,Los No Tan Tristes,spotify:track:2iS1BUa0VwSil4uQ89cfst
Homegrown Mafia,Blanca Navidad,Blanca Navidad,spotify:track:6MGH6PrE2pwcTOxadRuYGY
Denilson,Sed de Ganar,Sed de Ganar,spotify:track:0nu0muJL39ZhAdZHB4gjcc
Aleman,Eclipse,Astro 1,spotify:track:0oZlhg9VEEIIgc43JtE2Ji
Aleman,Un Minutito,Un Minutito,spotify:track:6QS06EyBMkoGCi2cwOp9Ip
Código KM,El Fin Del Mundo,Tirando Kaldo,spotify:track:3K9OXvl6hqFVr4apExORPa
Charles Ans,Sui Géneris,Voy a Estar Bien,spotify:track:2QrRQQh6xNSBl1ZXBcJ6HD
Scanlous,Killafornia,Gone,spotify:track:2pBcDIbBEBa5qEcvJbOcfK
Danger,D.E.F.,D.E.F.,spotify:track:0xJyabZohq9tVu7IDIEiSb
Mœnia,FM,Morir Tres Veces,spotify:track:5RSZDs0DOJ2iaCzb3juX72
Kap G,El Southside,Girlfriend,spotify:track:0wJIFdZTLwl4ZQ6RNLOxQN
Remik Gonzalez,"Las Viejas Más Buenas, Vol. 1",Hablamos Lo Que Es,spotify:track:3u1F1Wok045aMIdiY8fQBa
Fntxy,A Lo Plebe,Niña Bien,spotify:track:2TZXYdYPRtKpiRBKYJdfhq
Canserbero,Muerte,Maquiavélico,spotify:track:447r2keRxpkINmWYp83MlH
La Banda Baston,Luces Fantasma,Señor Malo,spotify:track:6bJYlFIKAhwdMfHkXptGCp
