name,last_modified_date,n_items,description,n_followers
Heavy Rotation: Oct 21,2021-10-07,17,,0
descubriendo,2021-10-06,17,,0
World We Created,2021-09-27,2,,0
30-min workout,2021-09-28,14,,0
Beibi Songs,2021-09-04,2,,0
Heavy Rotation: Sept 21,2021-09-13,18,,0
Algo Bien,2021-08-06,1,,0
⚡️ talk,2021-08-01,8,,0
boom boom,2021-07-18,9,,0
Bien Jalado,2021-06-30,16,,0
Nirvana in Gaza,2021-06-19,1,,0
kk,2021-06-18,3,,0
kdc,2021-06-12,3,,0
MVP: El Grave,2021-06-23,4,,0
ideas,2021-06-11,1,,0
Más Rap Escucha #0001,2021-06-23,12,Las recomendaciones de la semana.,1
Más Rap: Desamor Cholero,2021-06-08,5,,0
"Más Rap Vol. I, Ep. 3: Thriller Raps",2021-06-09,12,Rolas de historias que parecen de película,0
"Más Rap Vol. I, Ep. 2: Rolas Enfermas",2021-06-10,12,Rolas que se pasan de lanza,1
"Más Rap Vol. I, Ep. 1: Somos Más Rap",2021-06-10,19,Rolas que explican quienes son Más Rap,1
Locofonías #001,2021-06-02,7,,0
desamor cholero,2021-06-02,4,,0
pa cuando me caga el mundo,2021-05-27,21,,0
ponte las pilas,2021-05-08,2,,0
Morena Mía,2021-05-30,2,,0
Muerte En Hawaii,2021-04-19,7,,0
LA CANCIÓN,2021-04-02,7,,0
El Triki Traka,2021-04-02,3,,0
Penitencia,2021-05-06,18,,0
lo que ando oyendo ,2021-04-02,17,Febrero 2021.,0
💖🥺😈😳😫🥵👅💀👀💅🏼,2021-06-19,29,,0
En la Ciudad de la Furia,2020-08-14,101,,0
Todos en la Cuadra Bien Locos,2021-06-17,78,,0
Canela,2021-03-15,35,,0
codear,2021-10-05,680,rolitas pa escuchar mientras trabajo &#x2F; escribo código,0
chichiriviche,2020-08-22,9,,1
technician,2020-09-18,27,,0
my five faves,2020-11-16,13,,0
21st Century Thugz Vol. VIII,2021-03-01,15,,0
21st Century Thugz Vol. VII,2020-12-31,12,,0
21st Century Thugz Vol. VI,2020-10-27,12,,0
21st Century Thugz Vol. V,2020-10-27,7,,0
21st Century Thugz Vol. IV,2020-10-27,23,,0
21st Century Thugz Vol. III,2020-10-27,18,,0
21st Century Thugz Vol. II,2018-09-18,44,,0
21st Century Thugz Vol. I,2020-10-27,27,,0
La danza del fuego,2021-03-04,6,,0
Lo Que Ando Oyendo,2021-03-15,40,,1
Rich Vagos – Seasson 1,2021-01-08,9,,0
ZTFO,2021-01-07,10,,0
VXR$X$,2021-01-05,2,,0
N Side ,2021-01-05,1,,0
La Chikibeibi Wedding,2021-01-01,9,,0
✨el barrio✨,2021-05-27,3,,0
Abrázame Muy Fuerte,2020-12-23,3,,0
Los Vecinos Saben Mi Nombre,2020-12-21,2,,0
No Te Confundas,2020-12-20,2,,0
to check,2020-12-14,1,,0
samples,2020-12-05,2,,0
qué importa ,2020-12-08,11,,0
Mexicans are perfect,2020-11-30,9,,0
Top 5 - 2020 ,2020-11-18,15,you get 5 songs. they have to have been discovered in 2020 (not necessarily released). go.,0
FDT,2020-12-29,133,,3
Dakiti,2021-01-14,19,,0
My playlist #69,2020-11-01,8,,0
Soldado Del Amor,2020-10-16,4,,0
Remik Gonzale e e ez,2020-09-24,30,,0
No Love,2020-09-18,3,,0
Está Cabrón Ser Yo,2020-09-30,9,,0
90s? idk,2020-09-11,31,something bouncy,0
Muerte En Hawaii,2020-06-16,12,,0
Fiesta (Boombox Remix) [feat. Lil Supa] – Akapellah,2020-07-27,13,,0
to check out,2020-09-20,5,,0
Soy Ilegal,2021-03-01,9,,0
Self Care,2020-06-11,21,,0
Donde Me Vine a Quedar,2020-05-30,11,,0
Spotify.Me,2020-05-20,20,,0
Todos en la Cuadra Bien Locos,2020-05-30,5,,0
daily mix 2020-04-10,2020-04-10,49,,0
dj mix a lo plebe,2020-07-22,3,,0
dj mix según,2020-05-10,7,,0
Daily Mix 2020-04-02,2020-04-02,49,Estuvo buena.,0
