platform,search_time,search_query,search_interaction_uris
IPHONE,2021-07-11T00:16:29.401Z[UTC],vice city,['spotify:track:2SIdGJTWirTxRNEyCp9ocI']
IPHONE,2021-07-11T00:24:05.691Z[UTC],ab soul,['spotify:artist:0g9vAlRPK9Gt3FKCekk4TW']
IPHONE,2021-07-11T03:27:52.664Z[UTC],de do,"['spotify:track:0ZMd3vx4pIcQyKAMWWvE8i', 'spotify:track:0ZMd3vx4pIcQyKAMWWvE8i']"
IPHONE,2021-07-12T18:20:10.919Z[UTC],mill,['spotify:artist:31l8FA2bO5qxpqf8uhV5eZ']
IPHONE,2021-07-13T00:22:26.503Z[UTC],818,"['spotify:track:3ZwrKxXpwOXPezZ9ey9QT1', 'spotify:artist:3PVJduYa6juy5uE3nJbAVh']"
IPHONE,2021-07-13T21:18:12.309Z[UTC],nicky,['spotify:artist:1SupJlEpv7RS2tPNRaHViT']
IPHONE,2021-07-13T21:57:48.418Z[UTC],akwid aqui,['spotify:playlist:4HAMKwtIGpjTkTODy7wCy6']
IPHONE,2021-07-17T01:48:52.137Z[UTC],faruz,['spotify:artist:6tJRAxu0HwB2GI9GueEj4l']
IPHONE,2021-07-17T02:03:17.416Z[UTC],one mic,['spotify:track:6MMuI4k4Vs5ghtDH5i2hBg']
IPHONE,2021-07-17T20:54:09.733Z[UTC],ed ,['spotify:artist:6eUKZXaKkcviH0Ku9w2n3V']
IPHONE,2021-07-18T17:32:39.156Z[UTC],pa mis ,['spotify:track:2SKCG5dtZJh7vwhWJi7rCZ']
IPHONE,2021-07-20T00:56:18.262Z[UTC],biza,['spotify:artist:716NhGYqD1jl2wI1Qkgq36']
IPHONE,2021-07-21T01:01:32.307Z[UTC],2019,['spotify:playlist:37i9dQZF1EtrIawaS7qke8']
IPHONE,2021-07-21T01:01:37.475Z[UTC],201,['spotify:playlist:37i9dQZF1EjlMHQsR1BJUi']
IPHONE,2021-07-21T01:09:09.219Z[UTC],farruko,['spotify:artist:329e4yvIujISKGKz1BZZbO']
IPHONE,2021-07-21T14:06:41.985Z[UTC],metalli,['spotify:artist:2ye2Wgw4gimLv2eAKyk1NB']
IPHONE,2021-07-21T14:07:20.844Z[UTC],gera ,['spotify:artist:2hejA1Dkf8v8R0koF44FvW']
IPHONE,2021-07-22T17:26:10.709Z[UTC],stanko,['spotify:album:2tm3Ht61kqqRZtIYsBjxEj']
IPHONE,2021-07-22T19:04:12.249Z[UTC],bad bu,['spotify:artist:4q3ewBCX7sLwd24euuV69X']
IPHONE,2021-07-23T04:53:05.449Z[UTC],kanye,"['spotify:artist:5K4W6rqBFWDnAN6FQUkS6x', 'spotify:artist:5K4W6rqBFWDnAN6FQUkS6x', 'spotify:artist:5K4W6rqBFWDnAN6FQUkS6x']"
IPHONE,2021-07-24T05:29:07.141Z[UTC],k,[]
IPHONE,2021-07-25T01:59:22.816Z[UTC],rauw,['spotify:artist:1mcTU81TzQhprhouKaTkpq']
IPHONE,2021-07-25T17:46:34.444Z[UTC],net,['spotify:artist:0U5RYP2HMdGv2GhicLhkOI']
IPHONE,2021-07-28T23:39:11.676Z[UTC],faru,['spotify:artist:6tJRAxu0HwB2GI9GueEj4l']
IPHONE,2021-07-29T18:48:39.210Z[UTC],deni,['spotify:artist:31opIYTivWACiXXzX2khlj']
IPHONE,2021-08-01T01:05:30.397Z[UTC],tech,['spotify:playlist:3FQ14zPNw8qeKLP2LrqlrD']
IPHONE,2021-08-01T01:07:24.723Z[UTC],ice ,['spotify:artist:3Mcii5XWf6E0lrY3Uky4cA']
IPHONE,2021-08-01T01:09:06.496Z[UTC],wu t,['spotify:artist:34EP7KEpOjXcM2TCat1ISk']
IPHONE,2021-08-01T01:12:13.343Z[UTC],nas,['spotify:artist:20qISvAhX20dpIbOOzGK3q']
IPHONE,2021-08-01T01:13:36.394Z[UTC],mob,"['spotify:artist:6O2zJ0tId7g07yzHtX0yap', 'spotify:track:33ZXjLCpiINn8eQIDYEPTD']"
IPHONE,2021-08-01T01:20:01.004Z[UTC],nas ,['spotify:artist:3w2WYNyPCPkZFoC1EqfCMe']
IPHONE,2021-08-01T22:11:56.255Z[UTC],nip,['spotify:artist:0EeQBlQJFiAfJeVN2vT9s0']
IPHONE,2021-08-03T02:08:21.732Z[UTC],rauw,['spotify:artist:1mcTU81TzQhprhouKaTkpq']
IPHONE,2021-08-03T21:55:48.080Z[UTC],left,['spotify:artist:6eXHRfK9Ad3IpMpSAqvcDf']
IPHONE,2021-08-06T03:12:23.509Z[UTC],tech,['spotify:playlist:3FQ14zPNw8qeKLP2LrqlrD']
IPHONE,2021-08-06T03:49:52.908Z[UTC],kanye,['spotify:artist:5K4W6rqBFWDnAN6FQUkS6x']
IPHONE,2021-08-06T04:15:45.478Z[UTC],nas ,['spotify:artist:20qISvAhX20dpIbOOzGK3q']
IPHONE,2021-08-10T03:06:10.592Z[UTC],ckan,['spotify:artist:1QhaqxeqF9sipS2gwbEKpu']
IPHONE,2021-08-10T03:51:40.938Z[UTC],CRP,['spotify:artist:4P0dddbxPil35MNN9G2MEX']
IPHONE,2021-08-11T00:00:51.871Z[UTC],remik,['spotify:artist:4Hzj6dfl1y5x5TzCSsvLB6']
IPHONE,2021-08-11T20:31:37.994Z[UTC],lil supa,['spotify:artist:0qHbO3z6lgLE6ZYCkQBo1K']
IPHONE,2021-08-12T00:53:09.080Z[UTC],swysida,[]
IPHONE,2021-08-12T00:53:21.431Z[UTC],maldito,['spotify:track:7LWZD9QaQPUKyX7TB7xQFX']
IPHONE,2021-08-20T18:49:58.254Z[UTC],no skips,['spotify:show:1QAPcnWTsIrq3EudaIqLxT']
IPHONE,2021-08-24T16:03:19.306Z[UTC],pepas,['spotify:track:5fwSHlTEWpluwOM0Sxnh5k']
IPHONE,2021-08-29T15:41:24.811Z[UTC],kAn,['spotify:artist:5K4W6rqBFWDnAN6FQUkS6x']
IPHONE,2021-09-03T03:36:14.299Z[UTC],charl,['spotify:artist:5lYeiQxUTcGKVgAuTqbTeL']
IPHONE,2021-09-04T02:12:04.195Z[UTC],kanye,['spotify:artist:5K4W6rqBFWDnAN6FQUkS6x']
IPHONE,2021-09-04T14:39:23.610Z[UTC],bailando esteman,"['spotify:track:4U2ZR1idYA8HnS53apJTxN', 'spotify:track:4U2ZR1idYA8HnS53apJTxN']"
IPHONE,2021-09-04T17:12:28.342Z[UTC],fnt,['spotify:artist:7I85Ma5xjAo6nlvqOCIiWx']
IPHONE,2021-09-09T15:08:27.186Z[UTC],beto si,['spotify:artist:6kPf6aO5cAHU2RJUDN1UUy']
IPHONE,2021-09-10T17:19:04.724Z[UTC],tra,['spotify:playlist:37i9dQZF1DXc5PHJQUwAnG']
IPHONE,2021-09-11T22:25:10.656Z[UTC],la ple,['spotify:artist:4RtYPfT9hi1qBolEuVArOG']
