end_time,artist_name,track_name,ms_played
2020-10-06 20:12:00,Gera MX,Rumores,2693
2020-10-07 02:33:00,Gera MX,A Lo Mexicano,118769
2020-10-07 02:33:00,Gera MX,Gran Pez,1951
2020-10-07 02:36:00,Gera MX,Gran Pez,190375
2020-10-07 02:38:00,Gera MX,Gran Pez,147921
2020-10-07 17:30:00,Gera MX,Gran Pez,0
2020-10-07 17:43:00,Sech,Relación - Remix,32138
2020-10-09 14:52:00,Tainy,"Agua (with J Balvin) - Music From ""Sponge On The Run"" Movie",0
2020-10-09 14:52:00,Ozuna,Una Locura,2461
2020-10-09 14:55:00,Gera MX,Gran Pez,194000
2020-10-09 15:49:00,Gera MX,Gran Pez,15176
2020-10-10 00:13:00,Gera MX,Gran Pez,194000
2020-10-10 00:17:00,Gera MX,Gran Pez,194000
2020-10-10 00:21:00,Gera MX,Gran Pez,194000
2020-10-10 00:24:00,Gera MX,Gran Pez,194000
2020-10-10 00:30:00,Gera MX,Gran Pez,194000
2020-10-10 01:11:00,Gera MX,Gran Pez,172123
2020-10-10 01:15:00,Gera MX,Gran Pez,194000
2020-10-10 01:18:00,Gera MX,Gran Pez,194000
2020-10-10 01:31:00,Gera MX,Gran Pez,10173
2020-10-10 16:45:00,Gera MX,Gran Pez,200850
2020-10-10 16:49:00,Santa Fe Klan,Ojos Tumbados,254666
2020-10-10 16:55:00,Dharius,Todos en la Cuadra Bien Locos,349297
2020-10-10 16:56:00,C-Kan,Santa Maria,51071
2020-10-11 16:08:00,Gera MX,Rumores,150907
2020-10-11 16:11:00,Gera MX,Aprendiz,180507
2020-10-11 16:15:00,Gera MX,Bingo,215000
2020-10-11 16:17:00,Gera MX,Virtud,118000
2020-10-11 16:18:00,Gera MX,Shelby,94969
2020-10-11 16:22:00,Gera MX,Gran Pez,194000
2020-10-11 16:49:00,Gera MX,Gran Pez,194000
2020-10-11 18:33:00,Gera MX,Gran Pez,11365
2020-10-11 18:36:00,Gera MX,Gran Pez,194000
2020-10-11 18:39:00,Gera MX,Gran Pez,194000
2020-10-11 18:44:00,Gera MX,Gran Pez,194000
2020-10-11 21:39:00,Gera MX,Gran Pez,185635
2020-10-11 21:42:00,Gera MX,Gran Pez,194000
2020-10-11 21:46:00,Gera MX,Gran Pez,194000
2020-10-11 21:46:00,Gera MX,Gran Pez,7664
2020-10-13 21:08:00,Santa Fe Klan,Asi Soy,236043
2020-10-13 21:11:00,Rich Vagos,Independiente,161483
2020-10-13 21:14:00,Robot95,Mi Negocio,185117
2020-10-13 21:18:00,Santa Fe Klan,Asi Soy,236043
2020-10-13 21:22:00,Santa Fe Klan,Asi Soy,236043
2020-10-13 21:26:00,Santa Fe Klan,Asi Soy,236043
2020-10-13 21:29:00,Santa Fe Klan,Asi Soy,190363
2020-10-13 21:31:00,Gera MX,Rumores,150907
2020-10-13 21:34:00,Gera MX,Aprendiz,180507
2020-10-13 21:38:00,Gera MX,Bingo,215000
2020-10-13 21:40:00,Gera MX,Virtud,118000
2020-10-13 22:50:00,Gera MX,Shelby,8151
2020-10-13 22:54:00,Gera MX,Maldito Romántico,274000
2020-10-13 22:57:00,Gera MX,Brillo,189000
2020-10-13 23:00:00,Gera MX,Rumores,150907
2020-10-13 23:03:00,Gera MX,Aprendiz,180507
2020-10-13 23:06:00,Gera MX,Bingo,215000
2020-10-13 23:07:00,Gera MX,Virtud,36578
2020-10-13 23:09:00,Rich Vagos,Misterio,0
2020-10-13 23:10:00,Charles Ans,Yo No Me Quiero Morir,16010
2020-10-13 23:13:00,Gera MX,Gran Pez,194000
2020-10-13 23:14:00,Eladio Carrion,La Cone,50725
2020-10-13 23:18:00,Iluminatik,Puro Flow,239021
2020-10-13 23:21:00,Lil Supa,HASTA LA TUMBA,214654
2020-10-13 23:25:00,Cartel De Santa,Con el Coco Rapado,242733
2020-10-13 23:29:00,Iluminatik,La Jungla,211900
2020-10-13 23:31:00,Aleman,Washenme,148730
2020-10-13 23:35:00,Hispana,Se Busca,202178
2020-10-13 23:35:00,West Gold,Báilame,2037
2020-10-13 23:38:00,Charles Ans,Café,201687
2020-10-13 23:44:00,The Notorious B.I.G.,Notorious Thugs - 2014 Remaster,366880
2020-10-13 23:49:00,Ska-P,Radio Falacia,21
2020-10-13 23:49:00,Christian Nodal,Se Me Olvidó,1706
2020-10-13 23:49:00,Neto Peña,Cholo en un Low,618
2020-10-13 23:49:00,Nunca Muere,War Rap,271712
2020-10-13 23:49:00,Remik Gonzalez,Donde Me Vine a Quedar,1205
2020-10-13 23:49:00,The G,Vencer O Perder,1962
2020-10-13 23:49:00,Victimas Del Doctor Cerebro,El Esqueleto,15616
2020-10-13 23:49:00,Don Kalavera,Espuelas De Filero (feat. Tankeone),106
2020-10-13 23:49:00,Iluminatik,Cristal,2143
2020-10-13 23:49:00,Santa RM,Fast Mortem,74
2020-10-13 23:49:00,La Plaga,Psycho Plaga,1600
2020-10-13 23:51:00,Ska-P,Radio Falacia,8810
2020-10-13 23:51:00,Ska-P,Ska-Pa,78954
2020-10-13 23:55:00,Ska-P,La Colmena,252096
2020-10-13 23:59:00,Cartel De Santa,Leve,225240
2020-10-14 00:02:00,Rich Vagos,Si Preguntan por Mí,178494
2020-10-14 00:02:00,Piso 21,Pa' Olvidarme De Ella,1397
2020-10-14 15:05:00,Zornoza,No Quiero (Remix),18640
2020-10-15 15:29:00,Cardi B,Bartier Cardi (feat. 21 Savage),224284
2020-10-15 15:33:00,La Plebada,100 K,210926
2020-10-15 15:36:00,Santa RM,Ve Por Ello,180232
2020-10-15 15:38:00,La Plebada,La Galliza,159036
2020-10-15 15:41:00,C-Kan,Santa Maria,135287
2020-10-15 15:41:00,Robot95,Love & Money,1718
2020-10-15 15:41:00,Bipo Montana,This Shit Is Going Down,21432
2020-10-15 15:41:00,Geassassin,Pico y Pala,3297
2020-10-15 15:41:00,sofia shizuko,chichiriviche,2321
2020-10-15 15:43:00,Aleman,Me Pagan,109064
2020-10-15 15:46:00,Aleman,Mission,19256
2020-10-15 15:46:00,Cartel De Santa,Vato Sencillo,183093
2020-10-15 15:49:00,Anexo Leiruk,Verbal Big Bang,157291
2020-10-15 15:50:00,Gera MX,Qué Chula Mi Ciudad,88723
2020-10-15 15:52:00,Santa Fe Klan,Cumbia Pandillera,87492
2020-10-16 01:22:00,El Pinche Mara,Morfina,1068
2020-10-16 01:25:00,Santa Fe Klan,Cumbia Pandillera,196937
2020-10-16 01:28:00,Aleman,Astro 1,196474
2020-10-16 01:31:00,Calle 13,El Hormiguero,124995
2020-10-16 14:51:00,Mijares,Soldado Del Amor,178189
