track_name,artist_name,album_name,track_uri,playlist_name,position_in_list
"niño,",Ed Maverick,eduardo,spotify:track:3Yle1MUxWyj8NGS4ej8vnX,Heavy Rotation: Oct 21,1
Duele,Simpson Ahuevo,Duele,spotify:track:0vp1LRAhFT6PK9ixOmFT6E,Heavy Rotation: Oct 21,2
Fiebre,Simpson Ahuevo,Jorge,spotify:track:7LNlghRol6aZwCjFGTujKV,Heavy Rotation: Oct 21,3
Socios,Santa Fe Klan,Socios,spotify:track:7d8TPVWQLeW5PKrAb76V3N,Heavy Rotation: Oct 21,4
El diablo anda suelto,Código KM,El Fin Del Mundo,spotify:track:3itof28qmCDvqiyJSLLlzy,Heavy Rotation: Oct 21,5
El fin del mundo,Código KM,El Fin Del Mundo,spotify:track:4YMgEWNSxCppDFzVoUo1LY,Heavy Rotation: Oct 21,6
D'Calle,Yoga Fire,Lázaro,spotify:track:23wzMDNrDmppm4J8jnPlaz,Heavy Rotation: Oct 21,7
Órale,Simpson Ahuevo,Órale,spotify:track:14xTLKEco8Q58UcOwpvD4R,Heavy Rotation: Oct 21,8
Según,Go Golden Junk,Según,spotify:track:0cHmdNehSMS9GLSXVY2MZt,Heavy Rotation: Oct 21,9
Too Much Flow,Robot95,Too Much Flow,spotify:track:2ZBlDOQlq043eg34LwW54c,Heavy Rotation: Oct 21,10
Pa' Mis Doggs,Eptos Uno,Pa' Mis Doggs,spotify:track:2SKCG5dtZJh7vwhWJi7rCZ,Heavy Rotation: Oct 21,11
Entre la Muerte y el Peligro,TREN LOKOTE,Entre la Muerte y el Peligro,spotify:track:5R3GCgfkuflJtvLlIL1Vsi,Heavy Rotation: Oct 21,12
Mil Vueltas,Faruz Feet,Mil Vueltas,spotify:track:6ipVOqUJN6JJ2K3Da8gUbF,Heavy Rotation: Oct 21,13
Sed de Ganar,Denilson,CÓDIGOS,spotify:track:7DOSYQOd5m0e6e3YKd1TH7,Heavy Rotation: Oct 21,14
Lágrimas y Sangre,Denilson,CÓDIGOS,spotify:track:5qr5vMJhYTfQxsplxALCXF,Heavy Rotation: Oct 21,15
No Hay Otra Manera,Rich Vagos,No Hay Otra Manera,spotify:track:5zFbkN4265QMp0MPtDiC50,Heavy Rotation: Oct 21,16
Cuidando El Territorio,Calibre 50,Cuidando El Territorio,spotify:track:64ImcY4fJhY243wr20SR3e,Heavy Rotation: Oct 21,17
Shaq,Yoiker,Shaq,spotify:track:3IpUkeq9Ly8IoYHMAHOCp4,descubriendo,1
Moreno Loco,Yung Sarria,Moreno Loco,spotify:track:0qWI2R02D5Rx0nZISn3TcX,descubriendo,2
Martirio,Neutro Shorty,Humble Boyz,spotify:track:7f0WKkKKjW2VdpCGNNM9q4,descubriendo,3
La Maga,Ice Boxxx,Heart,spotify:track:0o5qM2f6QPZXTKSVtc4Oq0,descubriendo,4
Loco,Kerox,Loco,spotify:track:7CnM9n3QEXTbwPe1OH0foa,descubriendo,5
Cantidad y Quality (feat. Cancerbero),Rapper School,We Don´t Play,spotify:track:2ZtwyLSmuCO1QGXINW2aOC,descubriendo,6
Señor,Coy Sifuentes,La Reserva,spotify:track:5PfERjDUJcxkLzGJf2XYQe,descubriendo,7
"niño,",Ed Maverick,"niño,",spotify:track:3q5nnXfQNGbQARV5vC86Fw,descubriendo,8
Vaca Pa' Volar,Métricas Frías,Vaca Pa' Volar,spotify:track:55GfT7VzO2BTD1it7OO8Hw,descubriendo,9
La Crema,Big Metra,A Otro Nivel,spotify:track:5I9y4GR9Br9Ky5iM4jR3D6,descubriendo,10
No Lo Pensabas,Rufus Kluge,No Lo Pensabas,spotify:track:72kgILy7JLFV6UtaPUyc7F,descubriendo,11
Sólo Si Es Contigo,Santa RM,Sólo Si Es Contigo,spotify:track:6GTZrTCYaK60pZYvgaOw5Y,descubriendo,12
La Costa,Gerry Garcia,La Costa,spotify:track:0rwUWuz66CpUNb0nPr1Al7,descubriendo,13
FUMÁNDOTE UN BLUNT,Bejo,Tripi Hapa,spotify:track:3R7AEhVRxOQZUJzxYa0gmF,descubriendo,14
Caliente,Ñengo El Quetzal,Caliente,spotify:track:3JQKWG0P0P4k1OClIC98Ww,descubriendo,15
Disfruto,Acheoff,Disfruto,spotify:track:1SN6jity2WPPNKyjeQ4NqF,descubriendo,16
Soy Quien Soy,Los Chavalos De La Perla,Soy Quien Soy,spotify:track:5CmiDbX63o7bnpN6AowEup,descubriendo,17
World We Created,Giveon,TAKE TIME,spotify:track:51Ful1v7b81FchIFFTAQ05,World We Created,1
