artists_ids,spotify_url,duration_ms,explicit,name,popularity,preview_url,track_number,type,uri
"['2hejA1Dkf8v8R0koF44FvW', '0U8dIwzBn17JkhYxmznp6T']",https://open.spotify.com/track/10dS1LyDC8hMXcITvSNFyU,150907,True,Rumores,52,https://p.scdn.co/mp3-preview/038e4354c0747b140af682dd6a24d9dfb0f40590?cid=b73be74894634c5186958425bd535d90,1,track,spotify:track:10dS1LyDC8hMXcITvSNFyU
"['2hejA1Dkf8v8R0koF44FvW', '30CTTIqrcr82nS6B40j975']",https://open.spotify.com/track/1oS0MgWyh7KRMvKclAAHBq,216500,True,A Lo Mexicano,56,https://p.scdn.co/mp3-preview/385d224d1f6adb90d8c9a0f739842420323ebb5e?cid=b73be74894634c5186958425bd535d90,1,track,spotify:track:1oS0MgWyh7KRMvKclAAHBq
['2hejA1Dkf8v8R0koF44FvW'],https://open.spotify.com/track/1cISAsONqDaAr73kUFPLlF,194000,True,Gran Pez,52,https://p.scdn.co/mp3-preview/2dee72c0903960872354dc1a01d9d54f360d75a9?cid=b73be74894634c5186958425bd535d90,1,track,spotify:track:1cISAsONqDaAr73kUFPLlF
"['77ziqFxp5gaInVrF2lj4ht', '4VMYDCV2IEDYJArk749S6m', '1vyhD5VmyZ7KMfW5gqLgo5', '7ltDVBr6mKbRvohxheJ9h1', '329e4yvIujISKGKz1BZZbO']",https://open.spotify.com/track/35UUpTmrcFXNIVIN26ujXl,247308,False,Relación - Remix,79,https://p.scdn.co/mp3-preview/7ff3beb873e2fb8180d9964d51fcad2153ab4794?cid=b73be74894634c5186958425bd535d90,1,track,spotify:track:35UUpTmrcFXNIVIN26ujXl
"['1i8SpTcr7yvPOmcqrbnVXY', '1vyhD5VmyZ7KMfW5gqLgo5', '37230BxxYs9ksS7OkZw3IU']",https://open.spotify.com/track/5y7DaS3jAc9eZzcSOoUIwU,230693,False,Una Locura,80,https://p.scdn.co/mp3-preview/eb242ceac7bc7e879368beca1bff6a1d8b563829?cid=b73be74894634c5186958425bd535d90,9,track,spotify:track:5y7DaS3jAc9eZzcSOoUIwU
"['4tm8CEdm4pkQsEh4jIr9Yp', '66RfYVdftqnuHRicyClgL0', '2hejA1Dkf8v8R0koF44FvW', '0U5RYP2HMdGv2GhicLhkOI', '4Y5HJP3oFOJ8UVBXHYWBgx']",https://open.spotify.com/track/7uYFOLEhhmojSLTyVZ8r4O,262720,True,Ojos Tumbados,69,https://p.scdn.co/mp3-preview/d868b7072a356f735648387662f39b19e937348e?cid=b73be74894634c5186958425bd535d90,1,track,spotify:track:7uYFOLEhhmojSLTyVZ8r4O
"['66RfYVdftqnuHRicyClgL0', '1QhaqxeqF9sipS2gwbEKpu', '2hejA1Dkf8v8R0koF44FvW', '4tm8CEdm4pkQsEh4jIr9Yp', '0U5RYP2HMdGv2GhicLhkOI']",https://open.spotify.com/track/2QP6HI4BxBrdQdIOA75RSc,349297,True,Todos en la Cuadra Bien Locos,66,https://p.scdn.co/mp3-preview/b27c0bef4bc1155a53a52663bc036f380655379d?cid=b73be74894634c5186958425bd535d90,1,track,spotify:track:2QP6HI4BxBrdQdIOA75RSc
"['1QhaqxeqF9sipS2gwbEKpu', '2Rf13iETx8NVJLIc5N6Ub4']",https://open.spotify.com/track/2NL5Cwq6lZZkXGTWhKhhvC,180002,True,Santa Maria,30,https://p.scdn.co/mp3-preview/e8a9b664bb2a974d63fd44689cd3c16e3efbba42?cid=b73be74894634c5186958425bd535d90,1,track,spotify:track:2NL5Cwq6lZZkXGTWhKhhvC
"['2hejA1Dkf8v8R0koF44FvW', '0U8dIwzBn17JkhYxmznp6T']",https://open.spotify.com/track/2crFuExNseuZGM49vZ7j6e,180507,True,Aprendiz,46,https://p.scdn.co/mp3-preview/08fee03298419d1c2f9100bc6db20f67e621a0cc?cid=b73be74894634c5186958425bd535d90,2,track,spotify:track:2crFuExNseuZGM49vZ7j6e
"['2hejA1Dkf8v8R0koF44FvW', '0U8dIwzBn17JkhYxmznp6T']",https://open.spotify.com/track/47X4qwJQYEB6fhMID6phUx,215000,True,Bingo,54,https://p.scdn.co/mp3-preview/77d61a57b5407f8cca018f1e92d6ef3a094e6e60?cid=b73be74894634c5186958425bd535d90,3,track,spotify:track:47X4qwJQYEB6fhMID6phUx
"['2hejA1Dkf8v8R0koF44FvW', '0U8dIwzBn17JkhYxmznp6T']",https://open.spotify.com/track/57S5WPQ7WcuiJjzDGNMD4r,118000,True,Virtud,47,https://p.scdn.co/mp3-preview/8b81ddf613068c8254a42398e276076222632768?cid=b73be74894634c5186958425bd535d90,4,track,spotify:track:57S5WPQ7WcuiJjzDGNMD4r
"['2hejA1Dkf8v8R0koF44FvW', '0U8dIwzBn17JkhYxmznp6T']",https://open.spotify.com/track/1r4dtaCcrWL1gxyYn0GTwM,229707,True,Shelby,56,https://p.scdn.co/mp3-preview/09612af775d752c19f236c1d1e304932d789bca2?cid=b73be74894634c5186958425bd535d90,5,track,spotify:track:1r4dtaCcrWL1gxyYn0GTwM
['4tm8CEdm4pkQsEh4jIr9Yp'],https://open.spotify.com/track/5Wvw29RKTFSK0IuCd2qs4m,236068,True,Así Soy,72,https://p.scdn.co/mp3-preview/12bc77083dc81e415118d2ca0e31acde109fc504?cid=b73be74894634c5186958425bd535d90,1,track,spotify:track:5Wvw29RKTFSK0IuCd2qs4m
"['1FCItwxfRieMGhR0eRxotU', '2hejA1Dkf8v8R0koF44FvW']",https://open.spotify.com/track/03LrV2F4RWe8sViFjSLXkI,161483,False,Independiente,50,https://p.scdn.co/mp3-preview/694160d77bb46757dff5894b5f2d9e296a73c911?cid=b73be74894634c5186958425bd535d90,1,track,spotify:track:03LrV2F4RWe8sViFjSLXkI
"['30CTTIqrcr82nS6B40j975', '4tm8CEdm4pkQsEh4jIr9Yp']",https://open.spotify.com/track/4ZIHcmTKk4TMEBdStDu9kI,185117,True,Mi Negocio,55,https://p.scdn.co/mp3-preview/4d05377d138b8487f4307a31064748ad3a5f1159?cid=b73be74894634c5186958425bd535d90,1,track,spotify:track:4ZIHcmTKk4TMEBdStDu9kI
"['2hejA1Dkf8v8R0koF44FvW', '0U8dIwzBn17JkhYxmznp6T', '6nAb6EM4YY5ApcNsQWlc6f']",https://open.spotify.com/track/05xcn7HwKbSOVSCtO8i3Vl,274000,True,Maldito Romántico,61,https://p.scdn.co/mp3-preview/b605504d42b676b27b88374f225fc928f0bf5087?cid=b73be74894634c5186958425bd535d90,6,track,spotify:track:05xcn7HwKbSOVSCtO8i3Vl
"['2hejA1Dkf8v8R0koF44FvW', '0U8dIwzBn17JkhYxmznp6T']",https://open.spotify.com/track/1OWanE9fdU9vDzcIopOBPL,189000,False,Brillo,50,https://p.scdn.co/mp3-preview/2552d96acf6e0cc9ba330c54a07d140d363eddfb?cid=b73be74894634c5186958425bd535d90,7,track,spotify:track:1OWanE9fdU9vDzcIopOBPL
"['1FCItwxfRieMGhR0eRxotU', '2hejA1Dkf8v8R0koF44FvW', '0zfvfy9XlborSqXNRhi8Bk']",https://open.spotify.com/track/4XhMqjbmp5itrPFNaCrHdF,212000,True,Misterio,48,https://p.scdn.co/mp3-preview/4498092f0a9f4b21ea8d09db591b8eb994c5eebb?cid=b73be74894634c5186958425bd535d90,3,track,spotify:track:4XhMqjbmp5itrPFNaCrHdF
"['5lYeiQxUTcGKVgAuTqbTeL', '2hejA1Dkf8v8R0koF44FvW']",https://open.spotify.com/track/5xXaJHNtyBghk2F6AnP2PI,203546,False,Yo No Me Quiero Morir,61,https://p.scdn.co/mp3-preview/82698a309476acb9543cc637307462a1cc979b6f?cid=b73be74894634c5186958425bd535d90,1,track,spotify:track:5xXaJHNtyBghk2F6AnP2PI
"['5XJDexmWFLWOkjOEjOVX3e', '5wUO3A6DT4tO5UDz21kE2Y', '2hejA1Dkf8v8R0koF44FvW']",https://open.spotify.com/track/4QV1UDysVcpkHOGh2va5nt,251942,True,La Cone,57,https://p.scdn.co/mp3-preview/b1d0b7a9d0c9a6089357efdaf84b869ccb4e7659?cid=b73be74894634c5186958425bd535d90,1,track,spotify:track:4QV1UDysVcpkHOGh2va5nt
['0N6H5exnFMoW4yNQ3vDJ3Z'],https://open.spotify.com/track/2E9f1rauGH8Skmk0eeHGl0,239021,True,Puro Flow,39,https://p.scdn.co/mp3-preview/ca89f6cfac262b786538ebc24b21694d7ade1297?cid=b73be74894634c5186958425bd535d90,14,track,spotify:track:2E9f1rauGH8Skmk0eeHGl0
"['0qHbO3z6lgLE6ZYCkQBo1K', '6yK4tjevaEBcyEoaMJJZda', '1ggnt5q0Sm1yZj7l45ovd8', '7s0Tx8JpyEnFRfuwEqSmpy']",https://open.spotify.com/track/7erN8zduXF9Xm9XnztrRQ2,214654,True,HASTA LA TUMBA,21,https://p.scdn.co/mp3-preview/7187483798ded1ab2d79b1ca2085475fc71ffcf1?cid=b73be74894634c5186958425bd535d90,2,track,spotify:track:7erN8zduXF9Xm9XnztrRQ2
['07PdYoE4jVRF6Ut40GgVSP'],https://open.spotify.com/track/13mi6Ut0rcnvj88hLsTHDx,242733,True,Con el Coco Rapado,50,https://p.scdn.co/mp3-preview/b43ee72aac247a90db3edc7433b6011441c5b8ec?cid=b73be74894634c5186958425bd535d90,6,track,spotify:track:13mi6Ut0rcnvj88hLsTHDx
"['0N6H5exnFMoW4yNQ3vDJ3Z', '6M7bd1arTLm5FJnNFYKzb6', '2hejA1Dkf8v8R0koF44FvW']",https://open.spotify.com/track/4dNhkIEP4UOw6S1Qe72NRe,211900,True,La Jungla,15,https://p.scdn.co/mp3-preview/3b81ba17bf0040f1cac23afcaefcb051158cc009?cid=b73be74894634c5186958425bd535d90,11,track,spotify:track:4dNhkIEP4UOw6S1Qe72NRe
"['4QFG9KrGWEbr6hNA58CAqE', '3ScIigEm9KZUrUQtXzBmKJ']",https://open.spotify.com/track/6ioszJr33AdGbRFxV5ni13,148730,True,Washenme,34,https://p.scdn.co/mp3-preview/f0510cb8dfd5c667c5c150218fdee8f935e9c4e5?cid=b73be74894634c5186958425bd535d90,6,track,spotify:track:6ioszJr33AdGbRFxV5ni13
['7rTmbfDJtDCjoy8XK5Dsj5'],https://open.spotify.com/track/25VbuK6Klmm1rf7CpmDaT2,219788,True,Se Busca,19,https://p.scdn.co/mp3-preview/a94beafb0ed16ab88a8367fbb2206caa85aa8f07?cid=b73be74894634c5186958425bd535d90,9,track,spotify:track:25VbuK6Klmm1rf7CpmDaT2
['1gPiNBRjOB9XochAAFR3iM'],https://open.spotify.com/track/56paUZGrA8bfLMCasbGMgd,237186,False,Báilame,25,,7,track,spotify:track:56paUZGrA8bfLMCasbGMgd
"['5lYeiQxUTcGKVgAuTqbTeL', '2hejA1Dkf8v8R0koF44FvW']",https://open.spotify.com/track/7uQOMsqi4Hnpuoa3o7gZEB,201687,False,Café,56,https://p.scdn.co/mp3-preview/4cc87b123a76eddcec66baeba6ed2204bb215572?cid=b73be74894634c5186958425bd535d90,6,track,spotify:track:7uQOMsqi4Hnpuoa3o7gZEB
['5me0Irg2ANcsgc93uaYrpb'],https://open.spotify.com/track/19FsxX4RthRMZGfXkImdCb,366880,True,Notorious Thugs - 2014 Remaster,66,https://p.scdn.co/mp3-preview/7a0940b3428009795dbe63e9f699c508618f6432?cid=b73be74894634c5186958425bd535d90,13,track,spotify:track:19FsxX4RthRMZGfXkImdCb
